x y
0.7990797546 0.5853932584
0.7990797546 0.5853932584
0.7969296541 0.5759831461
0.7912492333 0.5435393258
0.791086351 0.5584269663
0.7969296541 0.5759831461
0.7962628089 0.5566011236
0.8210306407 0.4967696629
0.791086351 0.5584269663
0.7969296541 0.5759831461
0.8056027165 0.5331460674
0.8304548772 0.479494382
0.7961087949 0.5632022472
0.7969296541 0.5759831461
0.7884777124 0.5266853933
0.7961087949 0.5632022472
0.7969296541 0.5759831461
0.8021720613 0.5290730337
0.7969296541 0.5759831461
0.7969296541 0.5759831461
0.7961087949 0.5632022472
0.7969296541 0.5759831461
0.7961087949 0.5632022472
