x y
0.8413867433 0.6578651685
0.8413867433 0.6578651685
0.8124893942 0.6724719101
0.8118106228 0.6719101124
0.8399126796 0.6484550562
0.8399126796 0.6484550562
0.8399126796 0.6484550562
0.8399126796 0.6484550562
0.8399126796 0.6484550562
0.8399126796 0.6484550562
0.8399126796 0.6484550562
0.8399126796 0.6484550562
0.8107504723 0.6630617978
0.8107504723 0.6630617978
0.8107504723 0.6630617978
0.8256082401 0.6529494382
0.8248978867 0.6523876404
0.8248978867 0.6523876404
0.8248978867 0.6523876404
0.820436159 0.6551966292
0.8197326767 0.6546348315
0.8197326767 0.6546348315
0.8197326767 0.6546348315
0.8330001817 0.6438202247
0.791895034 0.6696629213
0.8322733055 0.643258427
0.8322733055 0.643258427
0.8322733055 0.643258427
0.7912306926 0.6691011236
0.8398292502 0.6355337079
0.8398292502 0.6355337079
0.8398292502 0.6355337079
0.8398292502 0.6355337079
0.8463855422 0.6314606742
0.8463855422 0.6314606742
0.8458207831 0.6310393258
0.8458207831 0.6310393258
0.8239525265 0.6435393258
0.8239525265 0.6435393258
0.8239525265 0.6435393258
0.8239525265 0.6435393258
0.8239525265 0.6435393258
0.8239525265 0.6435393258
0.8082072683 0.6528089888
0.8082072683 0.6528089888
0.8085624782 0.6525280899
0.8085624782 0.6525280899
0.8187321937 0.6457865169
0.8187321937 0.6457865169
0.8187321937 0.6457865169
0.8187321937 0.6457865169
0.8187321937 0.6457865169
0.8187321937 0.6457865169
0.8187321937 0.6457865169
0.7967396842 0.658988764
0.7960604517 0.6584269663
0.8314006994 0.6344101124
0.8314006994 0.6344101124
0.8314006994 0.6344101124
0.8314006994 0.6344101124
0.8314006994 0.6344101124
0.8314006994 0.6344101124
0.8404654655 0.6289325843
0.8534798535 0.6217696629
0.8534798535 0.6217696629
0.7899512687 0.660252809
0.7899512687 0.660252809
0.7899512687 0.660252809
0.83541008 0.6308988764
0.83541008 0.6308988764
0.8449065242 0.6220505618
0.8449065242 0.6220505618
0.8449065242 0.6220505618
0.8449065242 0.6220505618
0.8449065242 0.6220505618
0.8449065242 0.6220505618
0.8449065242 0.6220505618
0.8449065242 0.6220505618
0.807076219 0.6439606742
0.807076219 0.6439606742
0.8443342236 0.6216292135
0.8443342236 0.6216292135
0.8443342236 0.6216292135
0.8443342236 0.6216292135
0.8443342236 0.6216292135
0.8443342236 0.6216292135
0.8443342236 0.6216292135
0.8443342236 0.6216292135
0.8553840141 0.614747191
0.8553840141 0.614747191
0.7948101048 0.6495786517
0.7948101048 0.6495786517
0.7948101048 0.6495786517
0.8235509905 0.6306179775
0.8235509905 0.6306179775
0.8235509905 0.6306179775
0.8235509905 0.6306179775
0.8520617549 0.6123595506
0.8520617549 0.6123595506
0.8520617549 0.6123595506
0.8520617549 0.6123595506
0.8520617549 0.6123595506
0.8520617549 0.6123595506
0.8520617549 0.6123595506
0.8520617549 0.6123595506
0.8062799361 0.6383426966
0.8062799361 0.6383426966
0.8062799361 0.6383426966
0.8165970583 0.6316011236
0.8165970583 0.6316011236
0.8165970583 0.6316011236
0.787208709 0.65
0.7875383044 0.6497191011
0.7875383044 0.6497191011
0.8311419985 0.621488764
0.8311419985 0.621488764
0.8311419985 0.621488764
0.8311419985 0.621488764
0.8428764218 0.6140449438
0.8428764218 0.6140449438
0.8239985163 0.6240168539
0.8421052632 0.6134831461
0.8421052632 0.6134831461
0.8191508914 0.6259831461
0.8191508914 0.6259831461
0.8367035483 0.616011236
0.8074233459 0.6324438202
0.8138646288 0.6282303371
0.8138646288 0.6282303371
0.8178814026 0.6257022472
0.853972657 0.6053370787
0.853972657 0.6053370787
0.853972657 0.6053370787
0.853972657 0.6053370787
0.853972657 0.6053370787
0.853972657 0.6053370787
0.853972657 0.6053370787
0.853972657 0.6053370787
0.8449249951 0.6091292135
0.8449249951 0.6091292135
0.8449249951 0.6091292135
0.8449249951 0.6091292135
0.7920654254 0.6393258427
0.7920654254 0.6393258427
0.7924068269 0.6390449438
0.7924068269 0.6390449438
0.8443405416 0.6087078652
0.8443405416 0.6087078652
0.8443405416 0.6087078652
0.8443405416 0.6087078652
0.8316869301 0.6148876404
0.7860457123 0.6424157303
0.8266516093 0.6168539326
0.8266516093 0.6168539326
0.8508024569 0.6030898876
0.8522364217 0.5994382022
0.8522364217 0.5994382022
0.8522364217 0.5994382022
0.8522364217 0.5994382022
0.8456534595 0.6025280899
0.8413132695 0.6046348315
0.8413132695 0.6046348315
0.8413132695 0.6046348315
0.8413132695 0.6046348315
0.8413132695 0.6046348315
0.8413132695 0.6046348315
