x y
0.7194991055 0.5648876404
0.7118584071 0.5648876404
0.7118584071 0.5648876404
0.7118584071 0.5648876404
0.7172101449 0.5560393258
0.7172101449 0.5560393258
0.6983851363 0.5648876404
0.7132110092 0.5459269663
0.7797988444 0.5117977528
0.7797988444 0.5117977528
0.7074275362 0.5484550562
0.7074275362 0.5484550562
0.6547355084 0.5806179775
0.7573393554 0.5181179775
0.6335282651 0.5933988764
0.6330784226 0.5929775281
0.7481241128 0.5181179775
0.7481241128 0.5181179775
0.7481241128 0.5181179775
0.660235448 0.5671348315
0.776015642 0.5016853933
0.6405959032 0.5797752809
0.6405959032 0.5797752809
0.6196687674 0.5938202247
0.6627169559 0.5577247191
0.6282651366 0.5844101124
0.6282651366 0.5844101124
0.7929936306 0.4896067416
0.6924886878 0.5373595506
0.7233294256 0.5199438202
0.6342830453 0.5721910112
0.6342830453 0.5721910112
0.6342830453 0.5721910112
0.6364491844 0.5699438202
0.642010887 0.5632022472
0.6161705908 0.5844101124
0.6161705908 0.5844101124
0.6268015946 0.5741573034
0.7440116642 0.5016853933
0.7440116642 0.5016853933
0.6271578298 0.571488764
0.6271578298 0.571488764
0.6271578298 0.571488764
0.6288547962 0.5699438202
0.6138422694 0.5804775281
0.6138422694 0.5804775281
0.6437865973 0.5558988764
0.6242126287 0.5706460674
0.6390361446 0.5587078652
0.6390361446 0.5587078652
0.6390361446 0.5587078652
0.6185645064 0.5737359551
0.6185645064 0.5737359551
0.6185645064 0.5737359551
0.6198661393 0.5723314607
0.7270330562 0.503511236
0.6181102362 0.5733146067
0.6181102362 0.5733146067
0.6181102362 0.5733146067
0.637564433 0.5558988764
0.637564433 0.5558988764
0.637564433 0.5558988764
0.594617444 0.5926966292
0.6180407667 0.5706460674
0.6180407667 0.5706460674
0.6379505415 0.5543539326
0.6379505415 0.5543539326
0.6137972586 0.5723314607
0.6137972586 0.5723314607
0.5905852773 0.5938202247
0.6126898211 0.5723314607
0.6437180122 0.5476123596
0.6410424521 0.5492977528
0.6410424521 0.5492977528
0.6410424521 0.5492977528
0.5979307372 0.5844101124
0.6478472106 0.5431179775
0.6478472106 0.5431179775
0.6047366873 0.5773876404
0.6047366873 0.5773876404
0.5949836112 0.5863764045
0.6026111193 0.5769662921
0.6026111193 0.5769662921
0.6067599762 0.5723314607
0.6067599762 0.5723314607
0.6264049391 0.555758427
0.6781335773 0.520505618
0.6781335773 0.520505618
0.7365534697 0.4904494382
0.6867853796 0.5146067416
0.5839214058 0.5926966292
0.5839214058 0.5926966292
0.5839214058 0.5926966292
0.5979636364 0.5773876404
0.5979636364 0.5773876404
0.6233212198 0.5540730337
0.5869657215 0.5844101124
0.5869657215 0.5844101124
0.5864162666 0.5832865169
0.6241824852 0.5495786517
0.5951652832 0.5740168539
0.5951652832 0.5740168539
0.5951652832 0.5740168539
0.5913343889 0.5769662921
0.5913343889 0.5769662921
0.593722755 0.5738764045
0.593722755 0.5738764045
