t x y z
340 -1 -3 4
341 -1 -4 4
342 -1 -3 5
343 -1 -3 6
344 -1 -2 8
345 -1 -3 8
346 -2 -3 8
347 -2 -3 10
348 -1 -2 11
349 -2 -3 11
350 -3 -3 12
351 -2 -2 12
352 -2 -1 12
353 -2 -2 12
354 -2 -2 12
355 -2 -1 12
356 -1 -1 11
357 -2 -2 12
358 -2 -2 12
359 -1 -1 11
360 -1 -1 11
361 -1 -1 11
362 -1 -1 11
363 -1 -1 11
364 -1 -1 10
365 -1 0 10
366 -1 0 10
367 -1 -1 10
368 -1 -1 10
369 -1 -1 10
370 -1 -1 10
371 -1 -1 10
372 0 0 11
373 2 1 11
374 3 1 11
375 3 1 11
376 2 -1 11
377 1 -1 11
378 1 -1 10
379 1 -1 10
380 -1 -2 11
381 -2 -2 11
382 -2 -2 11
383 -2 -1 9
384 -3 -1 9
385 -3 -1 10
386 -1 -1 9
387 -1 1 9
388 -2 -1 10
389 -2 -1 10
390 -2 -1 9
391 -3 -1 10
392 -4 -1 10
393 -4 -2 10
394 -4 -2 10
395 -4 -2 11
396 -4 -2 12
397 -3 -1 12
398 -2 -1 12
399 -2 -1 12
400 -1 -1 13
401 2 0 13
402 2 1 13
403 3 1 12
404 4 1 12
405 4 0 12
406 4 1 11
407 5 1 10
408 5 1 9
409 4 -1 9
410 3 -2 8
411 4 -2 7
412 3 -2 7
413 2 -3 7
414 2 -3 6
415 1 -4 7
416 1 -4 8
417 1 -3 6
418 1 -2 4
419 -2 -4 5
420 -3 -4 6
421 -2 -3 5
422 -3 -3 6
423 -4 -4 7
424 -3 -4 7
425 -3 -3 7
426 -4 -3 9
427 -3 -3 9
428 -3 -2 10
429 -4 -2 11
430 -4 -2 11
431 -3 -2 11
432 -4 -2 11
433 -4 -2 12
434 -3 -2 12
435 -2 -1 12
436 -2 -1 12
437 -1 -1 12
438 1 1 12
439 1 1 12
440 1 1 11
441 2 1 11
442 2 2 11
443 2 1 11
444 1 0 10
445 1 0 10
446 1 0 10
447 0 0 11
448 -1 -1 11
449 -1 -1 11
450 -1 -1 10
451 -1 -1 10
452 -1 -1 11
453 -1 -1 11
454 -1 -1 11
455 1 -1 11
456 1 -1 12
457 0 -2 12
458 1 -2 12
459 1 -2 12
460 -1 -2 12
461 -3 -3 12
462 -2 -2 11
463 -1 -1 11
464 -2 -2 10
465 -2 -3 10
466 -2 -3 10
467 -1 -2 10
468 0 -2 10
469 0 -2 9
470 -1 -2 8
471 -2 -3 8
472 -2 -3 8
473 -2 -2 7
474 -3 -3 7
475 -4 -4 8
476 -3 -4 7
477 -3 -3 7
478 -4 -4 7
479 -5 -5 7
480 -5 -5 7
481 -5 -5 8
482 -5 -5 9
483 -5 -5 9
484 -4 -4 10
485 -4 -4 10
486 -3 -4 10
487 -2 -4 11
488 -1 -4 11
489 -1 -4 11
490 1 -3 11
491 2 -3 10
492 3 -2 10
493 3 -2 10
494 3 -2 9
495 4 -2 9
496 3 -2 10
497 3 -3 10
498 3 -2 9
499 3 -2 9
500 2 -2 10
501 2 -2 9
502 2 -2 9
503 1 -2 9
504 -1 -2 9
505 0 -2 9
506 -2 -2 10
507 -3 -2 11
508 -2 -2 11
509 -3 -2 11
510 -4 -2 11
511 -4 -2 11
512 -5 -2 11
513 -6 -3 11
514 -6 -3 11
515 -5 -3 11
516 -6 -3 11
517 -6 -3 10
518 -4 -2 10
519 -3 -2 10
520 -4 -2 11
521 -4 -2 11
522 -3 -2 11
523 -2 -1 11
524 -2 -1 11
525 -1 -1 11
526 1 0 10
527 2 0 10
528 2 -1 11
529 3 0 11
530 3 0 11
531 2 -1 11
532 1 -1 11
533 1 -1 11
534 -1 -1 10
535 -1 -2 10
536 -1 -2 10
537 -2 -2 10
538 -2 -2 10
539 -2 -2 10
540 -2 -2 10
541 -2 -2 10
542 -2 -2 11
543 -2 -2 11
544 -1 -2 11
545 0 -1 11
546 1 -1 11
547 1 -2 12
548 1 -2 12
549 1 -2 12
550 1 -2 12
551 -1 -2 12
552 -2 -2 12
553 -2 -2 11
554 -3 -3 11
555 -3 -3 11
556 -3 -2 10
557 -2 -2 10
558 -3 -3 10
559 -3 -3 9
560 -3 -3 9
561 -3 -3 9
562 -3 -3 9
563 -4 -3 8
564 -3 -2 7
565 -3 -3 7
566 -4 -4 8
567 -3 -3 7
568 -3 -3 7
569 -2 -3 7
570 -3 -3 6
571 -3 -3 5
572 -3 -3 4
573 -3 -3 4
574 -3 -3 5
575 -3 -3 6
576 -3 -2 8
577 -2 -2 8
578 -2 -2 9
579 -3 -2 10
580 -3 -2 11
581 -2 -1 11
582 -2 -1 11
583 -2 -1 12
584 -2 -1 12
585 -2 -1 12
586 -2 -1 13
587 -3 -1 13
588 -3 -1 13
589 -3 -2 13
590 -4 -2 13
591 -4 -2 13
592 -4 -2 13
593 -3 -1 12
594 -3 -1 12
595 -3 -1 11
596 -3 -1 11
597 -3 -2 11
598 -2 -2 11
599 -2 -1 10
600 -1 -1 8
601 1 -1 7
602 1 -2 7
603 1 -2 8
