t x y z
0 -4 -2 5
1 -5 -2 6
2 -6 -3 6
3 -6 -3 7
4 -6 -3 8
5 -6 -3 9
6 -5 -3 9
7 -4 -2 9
8 -4 -1 9
9 -3 -1 9
10 -3 -1 10
11 -3 -1 10
12 -3 -1 10
13 -3 -1 10
14 -5 -2 11
15 -5 -3 11
16 -4 -2 11
17 -5 -2 11
18 -5 -2 11
19 -6 -2 11
20 -7 -2 11
21 -7 -2 10
22 -7 -2 10
23 -6 -2 10
24 -6 -1 9
25 -5 -1 9
26 -4 1 9
27 -4 1 9
28 -4 1 9
29 -4 0 9
30 -4 0 9
31 -4 0 9
32 -4 -1 9
33 -4 -1 9
34 -4 -1 9
35 -4 -1 9
36 -5 -1 9
37 -5 0 9
38 -5 1 10
39 -5 1 10
40 -5 1 9
41 -6 1 9
42 -6 1 9
43 -5 1 9
44 -5 1 9
45 -5 1 10
46 -5 1 10
47 -6 1 10
48 -6 1 10
49 -6 1 10
50 -5 1 10
51 -5 1 10
52 -5 0 9
53 -4 -1 9
54 -4 -1 9
55 -3 -1 9
56 -4 -1 9
57 -4 -1 9
58 -5 -1 9
59 -5 -1 10
60 -5 -1 10
61 -5 0 10
62 -5 -1 9
63 -5 0 10
64 -4 1 10
65 -4 0 11
66 -4 -1 10
67 -4 -1 10
68 -4 -1 10
69 -4 1 11
70 -3 -1 10
71 -3 -1 9
72 -4 -2 9
73 -4 -1 9
74 -4 -1 9
75 -4 -1 9
76 -4 -1 10
77 -4 -1 10
78 -4 -1 10
79 -4 -1 11
80 -4 -1 11
81 -5 -1 11
82 -5 -1 11
83 -5 -1 11
84 -5 0 11
85 -5 1 11
86 -3 2 11
87 -3 1 10
88 -3 -2 9
89 -5 -3 8
90 -5 -2 9
91 -4 -2 10
92 -3 -1 10
93 -3 -2 9
94 -3 -2 9
95 -4 -2 8
96 -4 -2 8
97 -4 -3 8
98 -4 -3 8
99 -3 -3 9
100 -3 -2 9
101 -3 -2 10
102 -3 -2 11
103 -3 -2 11
104 -3 -2 11
105 -4 -1 11
106 -4 1 12
107 -3 1 12
108 -2 -2 11
109 -3 -2 11
110 -3 -2 11
111 -3 -2 11
112 -3 -2 10
113 -2 -2 9
114 -1 -2 9
115 -2 -2 9
116 -2 -2 9
117 -3 -2 9
118 -3 -2 9
119 -3 -2 8
120 -3 -3 8
121 -3 -3 7
122 -2 -3 7
123 -2 -3 8
124 -2 -3 9
125 -3 -2 10
126 -4 -2 10
127 -6 -3 11
128 -6 -3 11
129 -6 -3 11
130 -5 -3 11
131 -5 -3 10
132 -5 -3 10
133 -4 -3 9
134 -4 -3 8
135 -4 -3 8
136 -4 -3 8
137 -4 -4 8
138 -4 -4 8
139 -4 -4 8
140 -5 -4 9
141 -5 -4 9
142 -5 -3 10
143 -5 -3 11
144 -5 -3 10
145 -6 -4 10
146 -6 -2 11
147 -5 -1 11
148 -4 -1 11
149 -4 -1 11
150 -4 -2 10
151 -4 -2 8
152 -3 -3 7
153 -3 -3 7
154 -3 -3 8
155 -3 -3 8
156 -4 -2 9
157 -5 -3 10
158 -5 -2 10
159 -4 -2 11
160 -4 -2 10
161 -4 -3 10
162 -4 -4 9
163 -5 -4 10
164 -5 -2 11
165 -5 -1 11
166 -4 -1 11
167 -4 -1 11
168 -4 -2 9
169 -5 -3 8
170 -4 -2 9
171 -3 -2 9
172 -3 -2 8
173 -3 -3 8
174 -3 -3 8
175 -4 -3 8
176 -4 -3 9
177 -4 -3 9
178 -4 -3 9
179 -3 -3 10
180 -3 -3 11
181 -4 -3 11
182 -3 -3 11
183 -3 -3 10
184 -4 -3 10
185 -3 -2 11
186 -4 -1 11
187 -4 -1 12
188 -5 0 11
189 -4 0 11
190 -3 -1 8
191 -2 -2 7
192 -2 -2 6
193 -3 -2 6
194 -4 -2 8
195 -4 -1 10
196 -5 0 11
197 -5 -1 11
198 -5 -2 11
199 -5 -2 10
200 -6 -2 11
201 -6 -2 11
202 -5 -2 11
203 -4 -1 10
204 -3 -2 9
205 -5 -2 8
206 -7 -2 10
207 -6 -2 11
208 -4 -2 9
209 -3 -2 8
210 -4 -2 7
211 -4 -2 7
212 -4 -2 7
213 -4 -2 8
214 -4 -2 8
215 -4 -2 9
216 -5 -2 9
217 -5 -2 10
218 -6 -2 11
219 -5 -2 10
220 -5 -3 10
221 -5 -3 10
222 -5 -2 11
223 -4 -2 11
224 -4 -2 11
225 -5 -2 11
226 -5 -1 11
227 -5 -1 10
228 -4 -1 10
229 -5 -1 9
230 -5 -1 9
231 -6 -1 9
232 -5 -2 9
233 -5 -2 8
234 -4 -2 8
235 -5 -2 8
236 -5 -2 9
237 -6 -2 10
238 -5 -1 10
239 -6 -1 10
240 -7 -1 10
241 -6 -1 11
242 -5 1 11
243 -6 -1 9
244 -7 -2 9
245 -7 -2 8
246 -6 -2 8
247 -5 -2 7
248 -5 -3 6
249 -4 -3 6
250 -3 -3 6
251 -3 -3 7
252 -3 -3 8
253 -4 -3 10
254 -4 -2 11
255 -4 -2 11
256 -5 -2 11
257 -5 -2 11
258 -5 -2 11
259 -5 -2 11
260 -5 -1 11
261 -6 2 12
262 -5 2 12
263 -5 2 11
264 -6 1 11
265 -5 1 10
266 -4 0 9
267 -3 -1 8
268 -3 -1 7
269 -4 -1 7
270 -4 -1 8
271 -5 -1 8
272 -5 -1 8
273 -5 -1 8
274 -6 -1 8
275 -6 -2 9
276 -6 -2 8
277 -6 -2 9
278 -6 -2 10
279 -7 -1 11
280 -6 1 12
281 -4 1 11
282 -4 -1 8
283 -5 -1 8
284 -5 -1 9
285 -5 -2 9
286 -4 -2 8
287 -3 -2 8
288 -3 -2 8
289 -4 -2 7
290 -4 -3 7
291 -4 -3 8
292 -4 -3 9
293 -4 -3 10
294 -4 -3 10
295 -4 -3 11
296 -4 -2 11
297 -3 -3 11
298 -3 -2 11
299 -3 -1 12
300 -3 -1 11
301 -3 -1 11
302 -5 -1 11
303 -6 1 11
304 -5 1 11
305 -3 1 9
306 -3 -1 7
307 -3 -1 7
308 -3 -1 7
