t x y z
0 -1 -1 4
1 -2 -2 4
2 -3 -3 4
3 -2 -3 5
4 -1 -2 6
5 -1 -2 5
6 -2 -3 6
7 -3 -3 6
8 -3 -3 7
9 -1 -2 8
10 -2 -2 8
11 -2 -2 8
12 -2 -2 8
13 -2 -1 9
14 -1 -1 8
15 1 -1 8
16 -1 0 9
17 -2 -1 9
18 -2 1 10
19 -3 1 10
20 -2 2 10
21 -1 2 10
22 -3 1 10
23 -3 1 9
24 -3 1 10
25 -2 2 11
26 -4 2 12
27 -4 2 12
28 -3 3 12
29 -2 3 12
30 -3 3 12
31 -3 3 12
32 -2 3 12
33 -2 3 11
34 -2 2 11
35 -2 2 11
36 -2 2 11
37 -1 3 11
38 -1 3 11
39 -1 3 11
40 -1 3 11
41 0 3 11
42 0 4 10
43 1 4 10
44 1 3 10
45 0 3 10
46 0 3 11
47 0 4 11
48 0 4 11
49 -1 4 10
50 -1 4 10
51 -1 4 10
52 0 4 9
53 -1 4 9
54 -1 3 9
55 -1 3 9
56 -1 3 9
57 -1 2 9
58 -1 2 9
59 1 2 9
60 1 2 9
61 1 2 10
62 1 2 10
63 1 2 11
64 1 2 11
65 1 2 11
66 -1 2 11
67 -1 2 11
68 -1 2 11
69 -1 2 10
70 -1 2 10
71 -1 3 10
72 -1 3 10
73 0 3 10
74 0 3 10
75 -1 3 10
76 -1 3 10
77 0 3 10
78 -1 3 10
79 0 2 10
80 1 2 10
81 1 1 9
82 1 1 9
83 2 2 10
84 2 2 11
85 2 2 10
86 2 1 10
87 2 1 10
88 2 2 10
89 3 2 9
90 3 2 10
91 3 2 11
92 3 3 11
93 4 2 11
94 4 2 10
95 3 2 10
96 3 2 10
97 3 2 10
98 2 2 10
99 2 2 11
100 2 2 10
101 2 2 10
102 1 2 10
103 1 2 10
104 1 2 10
105 1 2 11
106 1 3 10
107 1 2 10
108 1 2 10
109 0 3 10
110 0 3 10
111 1 4 11
112 1 4 11
113 1 4 10
114 1 3 10
115 1 3 10
116 1 3 10
117 1 3 11
118 1 3 10
119 1 3 10
120 1 3 10
121 1 3 10
122 2 3 10
123 2 3 10
124 2 3 10
125 2 3 11
126 2 4 11
127 1 4 11
128 2 4 11
129 3 4 10
130 2 4 11
131 1 4 11
132 1 4 12
133 2 4 12
134 2 3 11
135 1 2 9
136 1 2 9
137 1 2 9
138 1 2 9
139 1 2 10
140 1 1 10
141 1 1 9
142 1 1 9
143 1 1 10
144 1 1 10
145 0 1 11
146 1 2 11
147 2 2 11
148 1 2 11
149 -1 2 11
150 -1 2 11
151 -1 2 11
152 -1 1 9
153 -1 1 9
154 -1 0 8
155 0 0 8
156 0 0 9
157 1 0 9
158 1 1 9
159 1 1 10
160 1 1 10
161 1 2 11
162 1 3 12
163 2 4 12
164 2 4 11
165 2 3 10
166 1 3 10
167 1 3 11
168 2 3 10
169 1 3 9
170 0 2 9
171 1 2 9
172 1 2 10
173 -1 3 11
174 -1 3 11
175 -1 3 11
176 -1 3 11
177 0 2 11
178 -1 2 10
179 -2 2 10
180 -2 2 11
181 -1 2 12
182 1 3 11
183 0 3 11
184 -2 3 11
185 -3 2 11
186 -2 3 11
187 -1 2 9
188 -1 2 8
189 -1 1 8
190 -1 1 8
191 0 2 8
192 1 2 9
193 1 2 9
194 1 2 9
195 1 3 11
196 1 3 12
197 1 3 12
198 2 3 10
199 1 2 9
200 1 3 11
201 1 3 11
202 1 3 11
203 1 3 10
204 1 3 9
205 1 2 7
206 0 2 8
207 1 2 10
208 2 3 10
209 3 4 10
210 2 3 10
211 1 1 10
212 1 1 10
213 2 1 10
214 2 1 10
215 2 1 10
216 1 0 10
217 1 1 10
218 1 2 11
219 1 2 12
220 1 3 12
221 1 3 11
222 -1 3 11
223 -1 2 10
224 -1 2 10
225 -1 1 9
226 -1 1 8
227 -1 1 9
228 1 2 9
229 1 2 9
230 1 2 10
231 -1 2 10
232 -1 2 10
233 -1 3 10
234 -1 3 11
235 -1 3 10
236 -2 3 10
237 -1 3 12
238 1 3 11
239 1 3 9
240 -2 2 10
241 -2 2 9
242 -2 3 10
243 -2 2 11
244 -2 2 11
245 -2 2 10
246 -2 2 10
247 -2 3 11
248 -1 3 11
249 0 3 11
250 1 3 11
251 -1 3 11
252 -1 3 11
253 -1 3 10
254 -1 3 9
255 -1 2 9
256 1 2 10
257 1 1 10
258 -2 0 10
259 -2 1 10
260 -1 2 10
261 -1 2 10
262 -1 2 9
263 -1 3 9
264 -1 3 9
265 -1 4 10
266 0 4 10
267 -2 4 9
268 -3 3 9
269 -2 3 10
270 0 4 11
271 -1 4 10
272 1 4 11
273 3 5 13
274 2 5 13
275 -2 4 13
276 -3 4 13
277 -4 4 13
278 -5 3 12
279 -6 3 12
280 -6 2 12
281 -6 2 11
282 -6 2 11
283 -6 2 11
284 -6 2 10
285 -5 2 8
286 -6 1 7
287 -6 1 7
288 -5 1 6
289 -5 0 5
290 -5 -1 4
291 -4 -1 4
292 -3 -1 3
293 -2 -1 3
294 -1 -1 3
295 1 -1 3
296 2 -1 4
297 2 0 5
298 2 0 6
299 2 1 6
300 3 1 7
301 3 2 10
302 3 2 11
303 3 3 11
304 3 3 12
305 2 3 12
306 1 3 12
307 0 3 13
308 -1 3 13
309 -2 3 14
310 -4 3 13
311 -5 3 12
312 -5 3 12
313 -7 1 12
314 -7 1 11
315 -5 2 11
316 -5 2 10
317 -5 2 9
318 -5 2 8
319 -3 4 9
320 -2 4 11
321 -3 3 10
322 -3 3 10
323 -3 3 10
324 -2 4 10
325 -2 4 10
326 -1 4 10
327 -1 3 9
328 -2 2 9
329 -2 2 9
330 -1 3 10
331 0 2 11
332 -1 2 10
333 -1 2 9
334 0 2 9
335 -1 1 9
336 -1 0 10
337 -1 1 11
338 -1 1 11
339 -1 1 11
340 -1 2 11
341 1 2 11
342 1 2 11
343 -1 2 11
344 -2 2 11
345 -1 2 11
346 -1 3 11
347 0 3 11
348 -1 3 10
349 -1 3 10
350 1 3 10
351 0 3 10
352 -1 3 10
353 -1 2 10
354 -1 3 10
355 -1 2 10
356 -2 2 10
357 -2 2 9
358 -2 1 8
359 -2 1 7
360 -2 1 7
361 -2 1 6
362 -2 1 6
363 -3 1 6
364 -3 1 6
365 -3 1 6
366 -4 1 7
367 -5 -1 7
368 -6 -1 8
369 -5 -1 7
370 -5 1 7
371 -5 1 6
372 -5 1 6
373 -6 1 6
374 -6 2 6
375 -7 2 7
376 -7 2 7
377 -7 2 6
378 -8 2 6
379 -8 2 7
380 -9 2 8
381 -9 2 8
382 -10 2 8
383 -11 2 7
384 -11 2 7
385 -10 2 7
386 -11 2 7
387 -11 2 7
388 -11 2 7
389 -11 2 7
390 -11 2 7
391 -11 2 7
392 -11 1 7
393 -11 1 8
394 -11 -1 8
395 -11 -1 8
396 -10 -1 8
397 -9 -1 8
398 -8 -1 7
399 -10 -1 8
400 -10 -1 8
401 -8 1 6
402 -11 1 9
403 -12 -1 11
404 -11 -1 11
405 -11 -1 11
406 -12 -1 11
407 -11 -1 10
408 -10 0 9
409 -10 0 9
410 -10 -1 9
411 -10 -1 8
412 -9 -2 8
413 -8 -2 9
414 -9 -1 9
415 -9 1 7
416 -7 0 5
417 -6 1 5
418 -5 1 5
419 -4 1 5
420 -6 0 5
421 -6 0 6
422 -5 1 4
423 -4 0 3
424 -5 -1 4
425 -5 -2 5
426 -5 -2 5
427 -5 -3 6
428 -5 -3 8
429 -6 -3 8
430 -5 -3 7
431 -5 -3 6
432 -5 -3 7
433 -5 -3 7
434 -6 -4 7
435 -5 -4 8
436 -5 -4 8
437 -5 -5 8
438 -6 -5 8
439 -6 -5 8
440 -6 -5 8
441 -5 -4 9
442 -4 -3 9
443 -4 -3 9
444 -4 -3 9
445 -3 -3 10
446 -3 -3 10
447 -3 -3 10
448 -4 -4 11
449 -4 -5 11
450 -4 -5 11
451 -4 -5 11
452 -4 -4 11
453 -3 -4 11
454 -3 -3 11
455 -3 -3 10
456 -2 -3 10
457 -2 -3 10
458 -2 -3 9
459 -2 -3 10
460 -2 -3 10
461 -2 -3 11
462 -2 -4 11
463 1 -4 11
464 2 -5 11
465 2 -5 11
466 1 -5 12
467 1 -3 12
468 1 -1 11
469 1 -1 10
470 -1 1 9
471 -2 3 9
472 -2 4 10
473 -1 5 10
474 -1 5 9
475 -2 4 9
476 -1 3 7
477 -1 3 7
478 -3 2 7
479 -3 1 7
480 -3 1 8
481 -2 1 9
482 -2 1 9
483 -2 -1 10
484 -3 0 10
485 -3 -1 10
486 -2 -1 9
487 -1 -1 10
488 -1 -1 10
489 -1 -1 9
490 1 1 10
491 -1 0 11
492 -1 0 11
493 -1 0 11
494 1 1 11
495 3 1 10
496 2 1 11
497 2 1 11
498 3 1 11
499 3 1 10
500 3 1 11
501 2 2 11
502 1 1 10
503 -2 1 10
504 -2 1 11
505 -4 1 11
506 -5 -1 10
507 -5 -1 9
508 -6 -1 9
509 -6 -1 10
510 -6 -1 9
511 -6 -1 8
512 -5 -1 8
513 -4 -1 8
514 -4 0 8
515 -4 1 8
516 -5 1 7
517 -5 1 6
518 -6 1 6
519 -5 2 6
520 -5 2 7
521 -5 2 7
522 -5 2 8
523 -5 3 9
524 -5 3 10
525 -4 4 11
526 -4 4 11
527 -3 4 12
528 -2 4 12
529 -2 3 12
530 -1 3 13
531 2 4 13
532 2 3 13
533 2 3 13
534 2 3 12
535 3 3 12
536 3 3 11
537 3 3 11
538 3 3 11
539 2 4 11
540 2 4 10
541 2 4 10
542 1 5 10
543 1 5 10
544 1 5 10
545 -1 5 11
546 -2 5 11
547 -3 5 10
548 -4 5 11
549 -5 4 10
550 -4 4 10
551 -6 4 9
552 -7 2 8
553 -7 3 8
554 -5 5 8
555 -6 4 9
556 -8 3 8
557 -6 3 8
558 -5 3 8
559 -4 4 8
560 -3 5 9
561 -2 5 9
562 -2 5 9
563 -2 5 9
564 -2 5 8
565 -2 5 9
566 -2 5 9
567 -2 5 7
568 -2 4 7
569 -2 4 8
570 -3 4 7
571 -3 4 8
572 -3 5 8
573 -3 5 8
574 -3 5 11
575 -2 5 11
576 -2 5 11
577 -2 5 11
578 -3 4 12
579 -2 5 13
580 -1 5 12
581 -1 5 12
582 -3 4 12
583 -3 3 12
584 -2 3 11
585 -1 3 9
586 -2 3 9
587 -2 3 9
588 -1 2 9
589 -1 2 9
590 -1 2 10
591 1 3 10
592 1 3 10
593 -1 3 11
594 -2 3 11
595 -2 3 10
596 -2 3 9
597 -2 2 9
598 -3 2 9
599 -4 1 8
600 -4 2 9
601 -3 3 9
602 -3 4 9
603 -3 4 11
604 -4 4 11
605 -3 3 10
606 -2 3 9
607 -2 3 9
608 -2 3 9
609 -3 4 9
610 -2 4 9
611 -2 4 9
612 -2 5 9
613 -2 5 9
614 -3 5 9
615 -3 5 10
616 -3 6 10
617 -3 6 10
618 -3 5 9
619 -2 5 9
620 -2 5 9
621 -2 5 9
622 -1 5 9
623 -1 5 9
624 -1 6 8
625 -1 6 8
626 -1 6 11
627 -1 6 12
628 -1 6 11
629 0 6 10
630 0 6 10
631 -1 6 10
632 -2 5 10
633 -1 5 10
634 -1 5 10
635 -1 5 10
636 -2 5 9
637 -2 5 9
638 -3 5 10
639 -4 5 11
640 -4 5 11
641 -4 5 11
642 -3 5 7
643 -3 5 6
644 -3 5 8
645 -3 5 9
646 -4 5 9
647 -4 5 9
648 -4 5 9
649 -4 5 9
650 -4 4 9
651 -4 4 9
652 -3 4 9
653 -3 3 9
654 -3 3 8
655 -3 2 9
656 -2 2 10
657 -2 2 9
658 -2 2 10
659 -1 3 11
660 -2 4 11
661 -2 4 11
662 -2 3 12
663 -3 3 11
664 -3 3 10
665 -3 4 11
666 -3 4 13
667 -2 3 12
668 -3 2 12
669 -3 3 12
670 -2 5 12
671 -2 6 11
672 -2 6 9
673 -1 5 10
674 -2 6 10
675 -2 6 7
676 -2 5 7
677 -1 5 7
678 -2 4 5
679 -3 2 5
680 -3 2 7
681 -2 2 9
682 -1 3 9
683 -1 2 8
684 -1 2 8
685 -2 1 10
686 -1 2 10
687 -1 2 9
688 -1 2 10
689 -3 2 11
690 -5 1 12
691 -5 1 12
692 -4 2 12
693 -4 2 13
694 -4 1 12
695 -4 1 12
696 -3 1 11
697 -3 0 12
698 -3 1 12
699 -1 1 10
700 -2 1 10
701 -3 -1 9
702 -2 -1 8
703 -1 -1 7
704 -1 -1 6
705 -1 -2 4
706 -1 -2 3
707 -1 -2 3
708 0 -2 2
709 -1 -2 2
710 -2 -2 2
711 -2 -2 3
712 -1 -1 3
713 -1 1 5
714 -2 1 6
715 -2 1 7
716 -2 2 9
717 -1 2 9
718 -2 2 10
719 -3 3 11
720 -3 3 11
721 -4 3 12
722 -4 3 13
723 -3 3 13
724 -3 2 14
725 -3 2 14
726 -3 2 14
727 -2 2 13
728 -1 2 13
729 2 3 12
730 3 3 12
731 2 3 12
732 3 4 11
733 3 4 11
734 2 4 10
735 1 4 10
736 -1 4 10
737 -2 4 11
738 -4 3 11
739 -5 2 10
740 -6 2 10
741 -8 1 8
742 -8 1 7
743 -6 2 8
744 -5 3 9
745 -6 2 9
746 -5 2 9
747 -4 2 7
748 -3 3 8
749 -3 3 10
750 -2 4 10
751 -2 5 9
752 -3 5 8
753 -3 5 8
754 -2 5 6
755 -2 4 7
756 -2 3 7
757 -2 2 6
758 -2 1 6
759 -2 1 8
760 -2 1 9
761 -3 0 9
762 -5 1 11
763 -4 3 13
764 -3 3 13
765 -4 3 13
766 -4 3 12
767 -3 4 12
768 -2 5 12
769 -2 5 10
770 -3 5 9
771 -4 5 9
772 -4 5 9
773 -4 5 8
774 -4 5 8
775 -4 5 9
776 -3 5 8
777 -3 4 7
778 -3 4 8
779 -4 4 8
780 -5 4 7
781 -5 5 7
782 -5 5 8
783 -6 4 9
784 -6 4 8
785 -6 4 7
786 -6 4 6
787 -6 3 5
788 -6 2 5
789 -5 1 4
790 -5 2 3
791 -5 2 3
792 -5 3 3
793 -5 4 4
794 -5 5 5
795 -7 5 6
796 -8 5 6
797 -8 5 5
798 -8 6 5
799 -8 6 5
800 -8 5 5
801 -8 6 4
802 -9 5 4
803 -11 4 5
804 -11 4 4
805 -9 6 4
806 -10 5 6
807 -10 4 5
808 -10 4 5
809 -11 4 5
810 -11 4 5
811 -11 4 6
812 -11 3 6
813 -11 3 5
814 -11 2 5
815 -11 2 5
816 -11 1 5
817 -14 -3 6
818 -11 -2 4
819 -10 -1 4
820 -9 1 3
821 -10 0 4
822 -11 -1 4
823 -13 -1 7
824 -14 -2 7
825 -14 -2 4
826 -13 -2 4
827 -14 -2 5
828 -13 -2 5
829 -12 -2 5
830 -12 -2 5
831 -12 -3 5
832 -11 -3 4
833 -11 -3 4
834 -11 -4 4
835 -11 -4 3
836 -11 -5 3
837 -11 -6 4
838 -12 -7 5
839 -12 -7 5
840 -12 -7 4
841 -12 -7 3
842 -11 -7 3
843 -11 -7 4
844 -10 -7 4
845 -10 -7 3
846 -10 -7 2
847 -9 -8 2
848 -9 -7 2
849 -8 -7 1
850 -6 -6 1
851 -5 -6 0
852 -5 -6 -1
853 -5 -5 -2
854 -3 -5 -3
855 -2 -5 -4
856 -3 -6 -3
857 -1 -5 -3
858 1 -4 -3
859 1 -4 -3
860 0 -4 -3
861 0 -5 -3
862 2 -5 -4
863 4 -4 -5
864 6 -4 -5
865 7 -4 -4
866 7 -4 -4
867 7 -5 -5
868 7 -5 -5
869 8 -5 -4
870 8 -4 -4
871 8 -4 -3
872 8 -5 -3
873 7 -5 -4
874 7 -6 -4
875 6 -6 -3
876 5 -7 -2
877 5 -7 -2
878 5 -7 -2
879 4 -7 -2
880 4 -7 -2
881 3 -8 -2
882 3 -8 -2
883 3 -8 -3
