t x y z
0 -1 -2 8
1 -1 -2 7
2 -1 -3 6
3 -1 -3 6
4 -1 -3 6
5 -1 -3 6
6 -1 -3 7
7 -1 -4 7
8 -1 -4 8
9 -1 -4 8
10 -1 -4 8
11 -1 -5 9
12 -1 -5 9
13 -1 -5 10
14 -1 -5 10
15 -1 -5 10
16 -1 -4 10
17 -2 -4 10
18 -1 -4 9
19 0 -3 9
20 0 -3 9
21 -1 -3 9
22 0 -3 8
23 -1 -3 7
24 -1 -2 7
25 -1 -1 7
26 -1 -1 5
27 -1 -1 5
28 -1 -1 5
29 -2 -1 6
30 -3 1 7
31 -3 2 8
32 -3 3 10
33 -4 3 11
34 -6 3 12
35 -5 5 12
36 -5 5 11
37 -5 6 11
38 -6 8 10
39 -7 9 10
40 -8 9 11
41 -8 8 12
42 -9 7 12
43 -8 6 12
44 -8 5 12
45 -7 5 11
46 -7 5 10
47 -7 5 9
48 -6 6 8
49 -6 6 8
50 -6 6 7
51 -6 6 7
52 -6 6 7
53 -5 6 8
54 -5 7 8
55 -5 7 8
56 -5 7 7
57 -5 7 7
58 -5 7 7
59 -5 7 7
60 -5 7 6
61 -5 7 6
62 -5 6 7
63 -5 6 8
64 -4 6 8
65 -4 5 7
66 -4 5 7
67 -4 5 7
68 -4 4 8
69 -5 4 8
70 -5 4 8
71 -6 4 9
72 -6 4 9
73 -5 4 9
74 -5 5 8
75 -5 5 8
76 -5 6 7
77 -5 7 6
78 -4 7 6
79 -4 7 6
80 -5 7 6
81 -5 6 7
82 -6 6 6
83 -7 6 6
84 -7 6 7
85 -7 6 7
86 -6 7 7
87 -6 8 8
88 -6 7 8
89 -6 6 8
90 -7 5 8
91 -7 5 7
92 -6 5 7
93 -6 6 6
94 -6 6 6
95 -5 6 5
96 -5 6 5
97 -5 6 5
98 -5 6 5
99 -5 7 6
100 -5 7 7
101 -5 7 7
102 -5 8 7
103 -5 9 7
104 -5 8 7
105 -5 8 7
106 -5 8 7
107 -5 8 8
108 -4 8 8
109 -4 7 8
110 -3 7 8
111 -4 7 8
112 -4 7 8
113 -4 7 8
114 -4 7 7
115 -4 7 7
116 -4 7 7
117 -4 8 7
118 -4 8 7
119 -4 8 7
120 -4 8 7
121 -5 7 6
122 -5 7 6
123 -5 6 6
124 -6 6 6
125 -7 6 6
126 -7 6 6
127 -7 7 6
128 -6 7 6
129 -6 6 6
130 -6 6 6
131 -6 6 5
132 -6 6 5
133 -6 6 6
134 -6 6 6
135 -6 6 6
136 -6 5 7
137 -6 5 7
138 -6 5 8
139 -6 5 8
140 -6 6 8
141 -6 7 8
142 -6 9 8
143 -5 9 9
144 -5 7 9
145 -5 6 9
146 -5 7 8
147 -4 7 8
148 -4 7 8
149 -4 7 8
150 -3 7 8
151 -3 7 8
152 -4 6 8
153 -4 6 8
154 -4 6 8
155 -4 6 8
156 -5 6 9
157 -5 6 8
158 -5 6 8
159 -5 6 8
160 -3 6 8
161 -3 5 8
162 -3 4 8
163 -4 3 8
164 -4 4 8
165 -3 4 9
166 -4 4 9
167 -4 5 9
168 -4 5 9
169 -4 5 9
170 -4 5 9
171 -4 5 9
172 -4 6 8
173 -4 6 8
174 -5 6 7
175 -5 5 7
176 -5 5 7
177 -6 5 7
178 -6 5 7
179 -6 5 8
180 -5 5 8
181 -5 5 9
182 -5 5 8
183 -4 5 8
184 -4 5 8
185 -5 6 8
186 -5 7 8
187 -5 8 9
188 -5 7 10
189 -5 7 10
190 -4 6 10
191 -4 6 10
192 -3 6 9
193 -4 6 8
194 -4 6 8
195 -4 6 8
196 -4 7 8
197 -4 7 8
198 -4 7 8
199 -5 6 8
200 -5 6 7
201 -5 6 7
202 -4 7 6
203 -4 7 7
204 -4 6 7
205 -5 6 6
206 -5 6 6
207 -6 5 7
208 -6 3 8
209 -5 3 8
210 -5 3 8
211 -5 4 8
212 -6 6 8
213 -6 6 9
214 -3 7 11
215 -3 5 11
216 -4 4 11
217 -4 4 10
218 -4 5 9
219 -3 5 9
220 -3 5 9
221 -2 5 8
222 -2 5 8
223 -3 5 8
224 -3 5 8
225 -3 5 9
226 -4 5 9
227 -4 4 9
228 -5 3 9
229 -5 3 10
230 -4 3 10
231 -4 2 10
232 -4 2 10
233 -4 2 10
234 -5 2 10
235 -5 3 10
236 -4 4 10
237 -2 4 10
238 -3 3 10
239 -3 3 11
240 -3 4 11
241 -3 4 11
242 -4 4 11
243 -4 4 10
