t x y z
0 -3 -5 7
1 -2 -4 8
2 -1 -4 9
3 -2 -5 10
4 -2 -5 10
5 -2 -5 10
6 -2 -5 10
7 -2 -5 10
8 -2 -4 10
9 -2 -5 9
10 -2 -5 9
11 -2 -5 9
12 -2 -6 10
13 -3 -5 10
14 -3 -5 10
15 -3 -5 10
16 -2 -5 9
17 -2 -4 9
18 -1 -4 8
19 0 -3 7
20 1 -2 7
21 2 -1 7
22 1 -1 7
23 1 -1 7
24 1 -1 8
25 1 -2 9
26 1 -2 9
27 1 -2 9
28 0 -3 9
29 1 -3 9
30 -1 -4 11
31 -2 -5 11
32 1 -4 11
33 2 -3 11
34 2 -3 12
35 3 -2 12
36 2 -2 12
37 1 -2 12
38 -1 -2 12
39 -2 -2 12
40 -2 -3 12
41 -1 -2 11
42 -1 -2 11
43 -1 -2 11
44 -2 -2 11
45 -1 -2 11
46 -1 -1 11
47 -1 -1 11
48 -1 -1 11
49 -1 -1 10
50 -1 -1 10
51 0 -1 10
52 1 -1 10
53 1 -1 10
54 1 -1 10
55 1 -1 10
56 1 -1 10
57 1 -1 11
58 1 0 11
59 1 0 11
60 0 0 11
61 0 0 11
62 -1 0 11
63 -1 0 11
64 -2 -1 11
65 -2 -1 11
66 -2 -1 10
67 -2 -1 10
68 -2 -1 10
69 -2 -1 10
70 -2 -1 10
71 -2 -1 9
72 -2 -2 9
73 -3 -2 10
74 -3 -2 10
75 -3 -2 11
76 -2 -1 11
77 -2 -1 11
78 -2 0 10
79 -1 1 11
80 -1 2 11
81 -2 2 12
82 -1 2 11
83 -1 2 11
84 -1 2 10
85 -1 2 9
86 -1 2 9
87 -1 2 10
88 -2 1 10
89 -2 2 10
90 -2 1 11
91 -2 1 11
92 -2 1 11
93 -1 1 11
94 -1 1 10
95 -1 1 10
96 -1 0 10
97 -1 -1 10
98 -1 -1 10
99 -1 -1 10
100 -1 -1 10
101 -1 0 11
102 -1 0 11
103 -1 0 11
104 -1 0 11
105 -1 0 10
106 -1 0 10
107 -1 0 10
108 -1 0 10
109 -1 0 10
110 -1 0 10
111 -1 0 10
112 -1 0 10
113 -1 0 10
114 -1 1 10
115 -1 1 11
116 -1 1 11
117 -1 1 10
118 -1 1 11
119 -1 1 11
120 -1 1 10
121 -1 1 10
122 -1 1 11
123 -1 1 11
124 -2 1 11
125 -2 1 10
126 -2 0 10
127 -1 0 10
128 -1 0 11
129 -1 -1 11
130 -1 -1 10
131 -1 -1 9
132 -1 -1 9
133 -1 -1 10
134 -1 -1 11
135 -1 -1 11
136 0 -1 10
137 -1 -1 10
138 -1 0 10
139 -1 0 10
140 -1 1 10
141 -1 1 11
142 -2 1 11
143 -3 1 11
144 -3 1 11
145 -2 2 12
146 -1 3 12
147 -2 2 11
148 -3 2 9
149 -3 2 9
150 -3 2 10
151 -2 1 11
152 -2 1 10
153 -2 1 10
154 -2 0 10
155 -2 0 10
156 -2 0 10
157 -2 -1 9
158 -1 -1 8
159 -1 -1 8
160 -1 -2 8
161 -1 -2 9
162 -1 -2 10
163 -1 -2 10
164 -1 -2 11
165 -1 1 13
166 -1 1 13
167 -1 1 11
168 -1 1 10
169 -2 2 11
170 -3 2 11
171 -3 2 11
172 -2 2 9
173 -2 1 8
174 -2 1 8
175 -2 1 8
