t x y z
0 -4 -2 7
1 -3 -2 7
2 -3 -2 7
3 -4 -2 8
4 -4 -2 7
5 -3 -2 7
6 -3 -2 7
7 -4 -2 8
8 -4 -2 8
9 -4 -2 9
10 -5 -2 9
11 -5 -3 9
12 -5 -2 10
13 -5 -2 10
14 -5 -2 10
15 -5 -2 10
16 -6 -2 11
17 -6 -2 11
18 -6 -2 10
19 -5 -2 10
20 -5 -1 10
21 -5 -2 9
22 -5 -2 10
23 -5 -1 10
24 -5 -1 9
25 -5 -1 9
26 -5 -2 9
27 -5 -1 9
28 -5 -1 9
29 -5 -1 9
30 -5 -2 9
31 -5 -1 9
32 -5 -1 9
33 -5 -1 9
34 -5 -1 9
35 -5 -1 8
36 -5 -2 8
37 -6 -2 9
38 -6 -2 9
39 -6 -1 10
40 -6 -1 9
41 -5 -1 9
42 -5 -1 9
43 -5 -2 9
44 -7 -2 10
45 -7 -1 10
46 -5 0 9
47 -5 1 8
48 -4 1 7
49 -4 1 7
50 -4 1 7
51 -5 -1 7
52 -5 -1 7
53 -5 -1 7
54 -5 -1 7
55 -5 -3 8
56 -6 -3 8
57 -6 -2 10
58 -5 1 11
59 -5 1 11
60 -4 1 11
61 -4 2 10
62 -5 2 10
63 -5 2 11
64 -5 3 11
65 -5 3 12
66 -5 2 12
67 -5 2 11
68 -5 1 11
69 -6 1 10
70 -6 2 11
71 -6 2 10
72 -6 2 10
73 -6 2 9
74 -5 2 8
75 -5 2 8
76 -5 2 8
77 -5 3 8
78 -5 3 8
79 -5 3 9
80 -6 3 10
81 -6 3 10
82 -6 3 9
83 -6 4 10
84 -5 4 11
85 -5 5 11
86 -6 5 10
87 -6 4 10
88 -6 3 9
89 -6 3 7
90 -5 2 6
91 -5 2 6
92 -5 2 6
93 -5 2 7
94 -4 2 8
95 -4 2 8
96 -4 1 9
97 -5 1 9
98 -6 2 10
99 -6 3 12
100 -6 4 13
101 -6 4 12
102 -6 4 11
103 -6 4 11
104 -6 4 10
105 -5 4 9
106 -4 3 7
107 -4 3 6
108 -4 3 5
109 -5 2 6
110 -5 3 7
111 -5 3 8
112 -7 3 10
113 -6 3 10
114 -5 3 9
115 -6 2 9
116 -6 2 10
117 -5 3 10
118 -6 2 10
119 -6 1 9
120 -6 1 8
121 -5 -1 6
122 -5 -1 6
123 -5 -2 6
124 -4 -1 6
125 -4 -1 7
126 -4 1 10
127 -5 2 11
128 -7 2 12
129 -9 3 13
130 -8 3 12
131 -7 3 11
132 -7 4 10
133 -7 4 9
134 -6 4 8
135 -4 4 7
136 -4 3 6
137 -4 3 5
138 -5 3 5
139 -5 3 7
140 -6 3 9
141 -7 3 10
142 -6 3 10
143 -5 4 10
144 -4 5 11
145 -3 5 11
146 -2 5 10
147 -2 4 10
148 -2 3 9
149 -3 2 8
150 -2 2 8
151 -2 2 7
152 -2 2 8
153 -1 2 8
154 1 3 10
155 0 4 11
156 -1 6 11
157 -2 7 12
158 -2 7 12
159 -3 8 11
160 -3 7 11
161 -2 6 9
162 -2 5 6
163 -2 4 5
164 -2 4 6
165 -2 4 7
166 -2 5 8
167 -2 5 8
168 -2 6 9
169 -2 7 11
170 -1 7 11
171 -1 6 10
172 -2 7 10
173 -2 8 11
174 -1 8 12
175 -1 8 11
176 -2 6 9
177 -2 5 7
178 -3 4 7
179 -3 4 7
180 -3 4 8
181 -2 5 9
182 -1 5 9
183 -1 5 9
184 -1 4 9
185 1 4 9
186 1 4 9
187 1 3 9
188 1 4 10
189 -1 6 11
190 -2 7 12
191 -3 7 12
192 -4 6 11
193 -3 5 9
194 -3 4 7
195 -3 3 6
196 -4 3 7
197 -3 3 7
198 -3 3 7
199 -2 3 8
200 -2 2 7
201 -3 2 7
202 -3 4 9
203 -4 6 12
204 -5 8 13
205 -5 8 11
206 -5 6 10
207 -5 5 8
208 -5 4 7
209 -5 3 7
210 -4 3 8
211 -3 3 10
212 -4 3 11
213 -3 3 11
214 -3 3 11
215 -3 3 11
216 -2 3 11
217 -2 3 11
218 -2 2 11
219 -2 2 10
220 -3 1 10
221 -3 -1 9
222 -3 -1 9
223 -3 -1 10
224 -3 0 10
225 -3 0 10
226 -3 1 11
227 -3 1 11
228 -3 2 11
229 -4 3 11
230 -6 4 12
231 -7 5 11
232 -7 6 9
233 -6 6 8
234 -5 6 8
235 -4 5 7
236 -4 3 7
237 -4 3 6
238 -4 2 7
239 -4 2 9
240 -4 2 10
241 -4 2 10
242 -5 1 9
243 -5 2 9
244 -6 3 10
245 -7 3 11
246 -7 4 11
247 -7 3 11
248 -6 3 10
249 -6 2 7
250 -4 2 4
251 -3 2 3
252 -4 3 5
253 -4 4 9
254 -4 3 11
255 -5 2 10
256 -5 1 8
257 -5 0 7
258 -5 0 9
259 -5 1 10
260 -3 2 10
261 -2 2 11
262 -2 2 10
263 -3 3 11
264 -5 4 12
265 -8 5 12
266 -9 5 11
267 -9 5 11
268 -8 4 11
269 -7 3 9
270 -7 2 8
271 -6 2 8
272 -6 2 9
273 -6 2 9
274 -5 2 8
275 -4 2 8
276 -5 0 10
277 -5 -2 9
278 -5 -2 9
279 -5 -2 10
280 -5 0 10
281 -5 1 10
282 -7 -1 10
283 -8 -2 10
284 -7 -1 9
285 -6 -1 8
286 -7 -1 7
287 -6 -1 6
288 -6 0 6
289 -5 0 5
290 -5 1 6
291 -5 2 9
292 -5 3 10
293 -5 2 8
294 -5 1 7
295 -6 -1 7
296 -7 -2 8
297 -7 -1 10
298 -5 1 9
299 -4 1 9
300 -5 1 10
301 -6 -1 11
302 -7 -1 11
303 -5 -1 9
304 -4 -1 8
305 -4 -1 9
306 -5 -1 9
307 -6 -1 10
308 -6 -1 10
309 -6 -1 9
310 -6 -1 9
311 -5 0 9
312 -5 0 9
313 -6 0 9
314 -6 -1 9
315 -5 1 9
316 -6 -1 9
317 -6 -2 8
318 -5 0 9
319 -5 1 10
320 -6 1 11
321 -8 1 12
322 -7 1 11
323 -8 1 11
324 -9 1 10
325 -9 1 9
326 -9 -1 8
327 -9 -2 7
328 -10 -2 7
329 -8 -2 6
330 -9 -2 6
331 -8 -2 6
332 -8 -2 6
333 -8 -3 6
334 -7 -3 6
335 -6 -3 5
336 -6 -3 6
337 -5 -2 6
338 -5 -3 6
339 -4 -2 7
340 -3 -3 6
341 -4 -3 6
342 -4 -3 7
343 -4 -3 7
344 -3 -2 7
345 -3 -2 9
346 -3 -1 9
347 -3 -1 10
348 -3 -1 11
349 -4 -1 11
350 -4 -1 11
351 -4 -1 11
352 -5 -1 11
353 -5 -1 11
354 -5 -1 11
355 -6 -1 11
356 -6 -1 10
357 -7 -1 10
358 -6 0 10
359 -6 0 10
360 -7 0 10
361 -8 -1 10
362 -8 -1 10
363 -7 1 9
364 -7 0 10
365 -7 -1 10
366 -6 -1 9
367 -6 0 9
368 -6 -1 8
369 -6 -1 8
370 -5 -1 8
371 -5 -1 8
372 -5 -1 9
373 -5 -1 8
374 -5 -1 8
375 -5 -1 9
376 -5 -1 9
377 -5 -1 9
378 -5 -1 9
379 -5 -1 9
380 -5 -1 9
381 -6 -1 9
382 -6 -1 9
383 -6 -1 9
384 -6 -1 9
385 -6 -1 9
386 -6 -1 9
387 -6 -1 9
388 -6 -1 9
389 -6 -1 9
390 -6 -1 9
391 -6 -1 9
392 -6 -1 9
393 -6 -1 9
394 -6 -1 9
395 -6 -1 9
396 -5 -1 8
397 -6 -1 9
398 -6 -1 9
399 -6 -1 9
400 -6 -1 9
401 -6 -1 9
402 -6 -1 9
403 -6 -1 9
404 -6 -1 9
405 -6 -1 9
406 -6 -1 9
407 -6 -1 9
408 -6 -1 9
409 -6 -1 9
410 -5 -1 9
411 -5 0 9
412 -5 -1 9
413 -6 -1 9
414 -6 -1 9
415 -6 0 9
416 -6 0 9
417 -6 -1 9
418 -6 -1 9
419 -6 -1 9
420 -6 0 9
421 -6 -1 9
422 -6 0 9
423 -6 1 9
424 -6 1 8
425 -6 1 8
426 -6 1 8
427 -6 0 8
428 -6 1 8
429 -6 1 7
430 -6 1 7
431 -6 -1 7
432 -5 -1 7
433 -6 -1 8
434 -6 -1 8
435 -6 -1 8
436 -6 -1 8
437 -7 -1 9
438 -7 1 9
439 -6 1 9
440 -6 1 9
441 -6 1 9
442 -6 2 9
443 -6 2 9
444 -6 2 8
445 -6 2 9
446 -6 2 9
447 -5 2 8
448 -5 2 8
449 -5 2 8
450 -5 2 7
451 -5 2 7
452 -5 2 7
453 -5 2 7
454 -5 2 7
455 -5 2 7
456 -5 1 7
457 -6 1 8
458 -6 1 8
459 -5 1 8
460 -6 1 8
461 -6 1 9
462 -6 2 10
463 -6 2 10
464 -6 2 11
465 -7 2 11
466 -7 2 11
467 -6 2 11
468 -7 2 10
469 -7 2 10
470 -7 2 9
471 -7 2 10
472 -6 3 9
473 -6 3 9
474 -6 3 10
475 -5 2 10
476 -6 2 10
477 -6 2 11
478 -5 2 10
479 -5 2 10
480 -5 1 10
481 -6 1 10
482 -5 1 11
483 -5 1 11
484 -5 1 11
485 -4 1 11
486 -4 1 11
487 -5 1 11
488 -4 1 10
489 -4 1 10
490 -4 1 9
491 -4 1 9
492 -4 1 10
493 -4 1 10
494 -4 1 11
495 -4 1 11
496 -4 1 11
497 -3 1 11
498 -3 1 11
499 -4 1 12
500 -4 1 12
501 -5 1 12
502 -5 1 13
503 -6 0 13
504 -6 1 13
505 -5 1 13
506 -4 1 12
507 -5 -1 11
508 -5 -1 10
509 -4 -1 10
510 -3 0 10
511 -3 1 11
512 -3 1 11
513 -3 -1 11
514 -3 -1 9
515 -3 -1 9
516 -3 -1 10
517 -3 -2 10
518 -4 -2 9
519 -4 -2 9
520 -4 -2 9
521 -4 -2 8
522 -3 -2 8
523 -3 -2 8
524 -4 -3 7
525 -4 -3 6
526 -3 -3 6
527 -3 -3 6
528 -3 -3 6
529 -3 -3 7
530 -3 -3 7
531 -4 -4 7
532 -3 -4 6
533 -3 -4 5
534 -2 -4 6
535 -3 -5 6
536 -3 -4 7
537 -3 -4 8
538 -4 -4 9
539 -4 -4 9
540 -4 -4 10
541 -4 -5 10
542 -4 -5 10
543 -4 -5 9
544 -4 -5 9
545 -3 -5 10
546 -3 -4 10
547 -3 -4 11
548 -3 -4 11
549 -2 -3 10
550 -1 -2 10
551 -1 -2 11
552 -1 -2 11
553 1 -2 10
554 1 -2 10
555 1 -2 10
556 1 -2 10
557 1 -3 9
558 0 -2 9
559 1 -2 10
560 -1 -2 10
561 -2 -2 10
562 -1 -1 10
563 -1 -1 10
564 -2 -1 10
565 -3 -2 10
566 -2 -2 11
567 -2 -1 11
568 -3 -1 11
569 -2 -1 11
570 -2 -1 11
571 -1 -1 10
572 -1 -2 10
573 -1 -2 10
574 1 -1 10
575 2 0 11
576 4 1 11
577 3 1 11
578 3 1 11
579 2 0 11
580 1 -1 11
581 0 -1 11
582 -1 -1 11
583 -2 -2 10
584 -3 -2 10
585 -3 -2 10
586 -3 -2 10
587 -4 -2 10
588 -4 -2 9
589 -4 -2 10
590 -4 -2 10
591 -4 -2 10
592 -4 -2 10
593 -4 -2 10
594 -4 -2 10
595 -4 -2 9
596 -5 -2 9
597 -5 -2 9
598 -5 -2 9
599 -5 -2 8
600 -4 -2 8
601 -4 -2 9
602 -4 -1 9
603 -4 -1 9
604 -3 -1 9
605 -3 -1 9
606 -3 -1 9
607 -3 -1 10
608 -3 0 10
609 -3 0 11
610 -3 0 11
611 -2 1 11
612 -2 1 11
613 -2 1 11
614 -1 2 11
615 -1 2 11
616 -1 1 11
617 -1 1 11
618 -1 2 11
619 -1 2 11
620 0 2 11
621 1 2 11
622 -1 2 11
623 -1 2 10
624 0 2 10
625 1 3 10
626 1 3 11
627 -1 3 11
628 -2 3 11
629 -2 3 11
630 -3 3 11
631 -4 2 11
632 -4 2 10
633 -5 2 10
634 -5 2 10
635 -6 1 9
636 -6 1 9
637 -6 1 9
638 -5 1 9
639 -5 2 9
640 -5 1 10
641 -5 1 9
642 -4 1 9
643 -4 2 10
644 -3 2 10
645 -3 2 10
646 -3 2 10
647 -3 2 10
648 -3 2 10
649 -3 1 10
650 -3 1 10
651 -3 1 10
652 -3 1 10
653 -3 2 10
654 -3 2 10
655 -3 2 10
656 -3 2 11
657 -3 2 11
658 -3 2 10
659 -3 2 10
660 -3 1 10
661 -3 2 10
662 -3 2 10
663 -3 2 10
664 -3 2 10
665 -3 2 10
666 -3 2 10
667 -3 2 10
668 -3 2 10
669 -3 2 10
670 -3 2 10
671 -4 2 10
672 -4 2 9
673 -4 2 9
674 -4 2 10
675 -4 3 10
676 -4 3 10
677 -5 3 9
678 -5 3 9
679 -5 3 8
680 -5 3 9
681 -5 3 9
682 -5 3 8
683 -5 4 8
684 -4 3 7
685 -4 3 6
686 -3 4 5
687 -3 4 5
688 -4 4 6
689 -5 4 6
690 -6 3 8
691 -6 4 8
692 -7 5 9
693 -9 5 11
694 -9 6 12
695 -9 6 12
696 -9 5 11
697 -8 5 10
698 -8 5 9
699 -8 5 8
700 -8 7 8
701 -10 8 8
702 -9 9 8
703 -7 9 7
704 -5 9 6
705 -4 9 5
706 -4 8 4
707 -4 7 5
708 -4 6 5
709 -5 6 6
710 -5 6 7
711 -5 6 7
712 -5 7 7
713 -5 7 8
714 -5 7 8
715 -4 8 8
716 -3 8 9
717 -3 7 10
718 -4 6 10
719 -4 6 9
720 -5 6 9
721 -6 7 9
722 -7 8 10
723 -7 8 9
724 -6 8 8
725 -4 7 6
726 -3 6 6
727 -3 5 6
728 -4 5 6
729 -5 4 8
730 -5 4 9
731 -6 4 9
732 -5 5 8
733 -6 5 8
734 -6 6 9
735 -6 7 10
736 -6 6 11
737 -6 5 11
738 -6 4 11
739 -6 4 11
740 -5 3 11
741 -7 2 11
742 -7 2 11
743 -6 2 11
744 -6 2 11
745 -5 3 11
746 -5 3 10
747 -5 2 10
748 -5 2 10
