t x y z
0 1 -1 -1
1 1 -1 -2
2 1 -2 -1
3 2 -2 -1
4 3 -2 1
5 2 -2 2
6 2 -2 3
7 1 -1 4
8 2 0 6
9 2 1 7
10 0 1 10
11 -2 -1 12
12 -2 -1 15
13 -2 -1 16
14 -3 -2 16
15 -2 -2 15
16 1 -1 14
17 2 1 13
18 1 1 12
19 -1 0 12
20 -1 1 11
21 -1 1 10
22 -1 2 10
23 -1 2 10
24 -1 2 10
25 0 2 10
26 0 2 10
27 0 2 10
28 0 2 10
29 0 2 10
30 0 2 10
31 1 2 10
32 1 2 10
33 1 2 10
34 1 2 10
35 0 2 10
36 0 2 10
37 0 2 10
38 0 2 10
39 1 2 10
40 1 2 10
41 1 2 10
42 1 2 10
43 1 2 10
44 0 2 10
45 0 2 10
46 1 2 10
47 0 2 10
48 0 2 11
49 0 2 10
50 0 2 10
51 0 2 10
52 0 2 10
53 1 2 10
54 1 2 10
55 0 2 10
56 -1 2 10
57 -1 2 10
58 -2 2 11
59 -2 2 11
60 -2 2 10
61 -2 3 9
62 -2 3 9
63 -2 3 8
64 -2 3 9
65 -3 3 10
66 -4 3 11
67 -3 2 11
68 -3 2 10
69 -2 1 10
70 -2 1 9
71 -1 1 9
72 -1 2 10
73 -1 2 10
74 1 2 11
75 1 2 11
76 1 2 11
77 1 2 11
78 2 2 12
79 2 3 13
80 1 2 12
81 1 1 11
82 1 1 10
83 1 0 10
84 1 0 9
85 -1 -1 8
86 -1 -1 8
87 -1 -2 7
88 -1 -2 7
89 -1 -2 8
90 1 -2 10
91 1 -1 11
92 -1 1 12
93 -1 1 12
94 -1 1 11
95 -2 1 11
96 -3 1 11
97 -3 1 11
98 -2 1 12
99 -1 2 12
100 -2 1 11
101 -2 1 11
102 -1 1 10
103 -1 1 9
104 -1 -1 9
105 -1 -1 8
106 1 -1 8
107 1 -2 8
108 0 -2 9
109 1 -2 10
110 0 -2 11
111 0 -2 11
112 0 -2 11
113 1 -1 11
114 1 -1 11
115 2 -2 11
116 2 -1 11
117 2 0 11
118 3 2 12
119 3 3 12
120 3 3 11
121 2 2 11
122 -1 2 10
123 1 2 10
124 1 3 10
125 1 3 9
126 -1 3 8
127 -1 2 7
128 -2 1 7
129 -2 0 7
130 -2 -1 7
131 -2 -1 8
132 -2 -1 10
133 -2 -1 11
134 -2 -1 11
135 -2 1 11
136 -3 1 11
137 -4 1 11
138 -4 1 11
139 -3 2 12
140 -2 2 13
141 -1 2 12
142 -1 2 11
143 -1 2 11
144 -2 1 10
