t x y z
0 -2 -4 5
1 -2 -4 4
2 -2 -4 3
3 -2 -5 4
4 -2 -4 5
5 -2 -4 7
6 -2 -4 7
7 -2 -4 7
8 -3 -5 8
9 -3 -4 9
10 -3 -4 10
11 -3 -4 10
12 -4 -4 10
13 -4 -4 10
14 -4 -4 11
15 -3 -4 11
16 -4 -4 11
17 -5 -4 10
18 -6 -5 9
19 -5 -4 9
20 -5 -4 10
21 -6 -3 11
22 -5 -3 11
23 -4 -2 10
24 -3 -2 10
25 -3 -2 9
26 -4 -2 8
27 -3 -2 8
28 -2 -1 7
29 -2 -1 7
30 -3 -1 7
31 -2 1 7
32 -1 2 6
33 -2 2 7
34 -2 1 7
35 -2 2 7
36 -3 2 8
37 -5 1 11
38 -6 0 11
39 -5 2 11
40 -5 2 12
41 -5 2 12
42 -4 3 12
43 -4 2 12
44 -5 1 12
45 -5 1 12
46 -5 1 12
47 -5 1 12
48 -4 2 11
49 -2 3 11
50 -3 3 11
51 -4 2 11
52 -4 2 10
53 -2 3 10
54 -1 3 10
55 -1 3 10
56 1 3 11
57 1 3 11
58 1 3 10
59 1 3 9
60 1 3 7
61 0 3 6
62 -2 4 7
63 -3 4 8
64 -3 5 10
65 -2 5 11
66 -2 5 12
67 -3 5 11
68 -3 4 11
69 -3 4 11
70 -3 3 10
71 -3 3 10
72 -2 4 11
73 -2 4 11
74 -2 4 11
75 -3 5 10
76 -3 6 10
77 -4 7 11
78 -4 6 11
79 -3 6 10
80 -2 5 8
81 -2 4 7
82 -2 4 6
83 -2 3 6
84 -2 3 7
85 -1 4 8
86 -1 4 9
87 1 5 10
88 1 6 11
89 -1 7 11
90 -1 8 11
91 0 8 11
92 -2 8 10
93 -3 8 11
94 -2 7 10
95 -1 7 9
96 -1 6 7
97 -2 5 7
98 -2 5 7
99 -2 5 8
100 -2 5 8
101 -2 5 9
102 -2 5 10
103 -3 5 10
104 -3 5 10
105 -2 5 11
106 -1 5 10
107 -2 7 11
108 -3 7 12
109 -4 7 11
110 -3 6 9
111 -3 5 8
112 -3 4 8
113 -3 4 7
114 -3 4 7
115 -3 3 7
116 -3 3 7
117 -2 2 7
118 -1 2 7
119 -1 3 8
120 -2 3 10
121 -2 4 12
122 -1 5 11
123 -1 5 11
124 1 6 10
125 0 6 11
126 -1 7 12
127 -1 6 12
128 -1 5 11
129 -1 4 8
130 0 4 7
131 0 4 7
132 0 4 8
133 -2 4 9
134 -2 5 10
135 -3 5 11
136 -3 4 11
137 -3 3 10
138 -2 2 9
139 -2 2 9
140 -2 2 8
141 -2 3 9
142 -2 3 11
143 -1 4 12
144 -2 5 12
145 -2 6 11
146 -3 6 11
147 -3 5 10
148 -3 5 10
149 -2 4 9
150 -2 4 8
151 -3 4 8
152 -3 4 8
153 -3 3 8
154 -3 3 8
155 -3 3 8
156 -3 2 8
157 -3 2 8
158 -3 2 9
159 -3 2 9
160 -2 2 9
161 -2 2 10
162 -2 2 10
163 -2 3 10
164 -2 4 11
165 -1 5 12
166 -1 5 11
167 -2 5 11
168 -3 5 11
169 -3 5 11
170 -3 4 11
171 -2 4 9
172 -1 4 7
173 -1 4 7
174 -2 5 9
175 -3 4 10
176 -3 4 10
177 -3 4 10
178 -3 4 9
179 -3 4 9
180 -3 4 9
181 -3 3 9
182 -4 4 9
183 -4 4 10
184 -3 4 11
185 -3 4 11
186 -3 4 11
187 -3 5 10
188 -3 5 11
189 -3 4 11
190 -3 3 9
191 -3 3 8
192 -3 2 8
193 -3 2 8
194 -4 2 8
195 -4 2 9
196 -4 2 10
197 -4 2 11
198 -5 2 11
199 -5 2 11
200 -6 2 11
201 -6 2 10
202 -5 2 11
203 -4 2 12
204 -3 2 12
205 -4 2 12
206 -5 2 12
207 -5 2 11
208 -5 2 11
209 -5 2 11
210 -5 1 11
211 -4 2 10
212 -3 3 9
213 -3 3 9
214 -4 2 9
215 -4 2 9
216 -4 2 9
217 -4 1 9
218 -4 1 9
219 -2 0 9
220 -3 -1 9
221 -5 -2 8
222 -5 -1 8
223 -4 0 8
224 -4 -1 8
225 -5 -2 8
226 -5 -2 7
227 -4 -1 8
228 -4 -1 8
229 -4 -1 7
230 -4 -1 7
231 -4 -1 8
232 -4 -1 8
233 -5 -2 9
234 -4 -2 9
235 -4 -2 10
236 -5 -2 10
237 -5 -2 10
238 -5 -2 9
239 -4 -2 9
240 -5 -2 10
241 -5 -2 10
242 -5 -2 10
243 -5 -2 10
244 -4 -2 10
245 -5 -2 10
246 -5 -2 10
247 -4 -1 10
248 -4 -1 10
249 -4 -1 10
250 -4 -1 11
251 -5 -1 11
252 -5 -1 11
253 -6 -1 12
254 -7 -2 12
255 -7 -1 12
256 -8 -1 11
257 -9 -2 11
258 -10 -2 10
259 -9 -2 9
260 -8 -2 9
261 -8 -2 8
262 -9 -3 8
263 -8 -3 7
264 -8 -3 6
265 -8 -4 5
266 -8 -4 4
267 -8 -4 3
268 -7 -4 4
269 -6 -5 4
270 -6 -5 4
271 -5 -5 4
272 -4 -5 4
273 -4 -5 5
274 -3 -5 6
275 -3 -4 6
276 -2 -4 6
277 -1 -4 6
278 0 -4 7
279 1 -4 6
280 1 -4 6
281 1 -4 8
282 1 -4 8
283 1 -3 8
284 1 -3 9
285 0 -3 11
286 -1 -3 11
287 -1 -2 11
288 -1 -2 11
289 -2 -2 11
290 -2 -2 12
291 -3 -2 12
292 -3 -2 12
293 -4 -1 12
294 -5 -1 12
295 -5 -2 12
296 -6 -1 11
297 -7 -2 11
298 -7 -2 10
299 -7 -2 9
300 -6 -2 9
301 -5 -1 9
302 -4 -1 9
303 -4 -1 9
304 -3 0 10
305 -3 0 9
306 -3 0 9
307 -3 1 10
308 -2 2 10
309 -1 3 9
310 1 4 8
311 2 4 6
312 1 3 5
313 -4 1 6
314 -4 -1 6
315 -3 0 7
316 -5 -1 10
317 -7 -3 11
318 -8 -3 11
319 -7 -1 11
320 -5 1 12
321 -5 1 12
322 -5 1 12
323 -5 1 11
324 -5 1 11
325 -4 2 11
326 -4 2 11
327 -4 2 11
328 -4 3 11
329 -2 3 10
330 -1 3 9
331 1 4 7
332 -1 4 7
333 -3 4 7
334 -3 4 7
335 -3 4 8
336 -3 5 8
337 -4 5 10
338 -5 4 10
339 -4 5 10
340 -4 5 11
341 -6 5 11
342 -7 5 11
343 -6 4 11
344 -5 5 9
345 -3 5 8
346 -3 5 8
347 -3 5 9
348 -3 5 9
349 -3 5 9
