t x y z
0 -3 -4 -3
1 -5 -4 -3
2 -6 -4 -2
3 -6 -4 -2
4 -8 -4 -1
5 -9 -5 -2
6 -10 -5 -2
7 -10 -5 -3
8 -11 -5 -3
9 -11 -5 -3
10 -11 -5 -2
11 -11 -5 -2
12 -11 -4 -2
13 -11 -4 -2
14 -11 -4 -2
15 -10 -4 -2
16 -10 -4 -1
17 -10 -4 -1
18 -9 -4 -1
19 -9 -3 0
20 -9 -3 0
21 -9 -3 -1
22 -9 -4 -1
23 -8 -4 -2
24 -7 -3 -1
25 -7 -3 -1
26 -8 -3 -1
27 -8 -3 -1
28 -9 -3 -1
29 -10 -3 0
30 -10 -3 1
31 -10 -3 1
32 -11 -3 1
33 -11 -2 2
34 -11 -2 2
35 -11 -2 2
36 -11 -2 3
37 -11 -1 3
38 -11 -1 3
39 -10 -1 3
40 -10 -1 3
41 -10 -1 4
42 -9 -1 4
43 -9 -1 5
44 -9 -1 5
45 -8 -1 5
46 -8 1 5
47 -8 1 5
48 -9 2 5
49 -8 2 5
50 -8 2 5
51 -8 2 5
52 -9 2 6
53 -9 1 6
54 -8 1 6
55 -8 2 6
56 -9 2 6
57 -9 2 7
58 -9 2 8
59 -10 2 7
60 -11 1 7
61 -10 1 7
62 -8 2 7
63 -7 2 8
64 -7 2 9
65 -7 2 10
66 -8 1 10
67 -8 1 9
68 -7 2 9
69 -6 2 9
70 -6 3 9
71 -6 3 10
72 -6 4 11
73 -7 4 11
74 -7 5 11
75 -7 4 9
76 -7 4 7
77 -6 4 6
78 -6 4 6
79 -7 4 7
80 -7 4 8
81 -6 4 8
82 -5 4 6
83 -4 4 5
84 -4 4 5
85 -5 4 6
86 -5 4 7
87 -6 4 8
88 -7 4 9
89 -7 4 9
90 -7 4 8
91 -7 6 9
92 -8 6 11
93 -8 5 11
94 -7 5 11
95 -6 5 9
96 -5 5 7
97 -5 5 6
98 -5 5 5
99 -5 4 6
100 -5 4 6
101 -5 3 6
102 -5 3 6
103 -6 3 7
104 -7 3 8
105 -7 3 9
106 -8 3 9
107 -7 3 8
108 -7 4 8
109 -6 5 8
110 -7 4 9
111 -7 3 9
112 -6 4 8
113 -6 4 8
114 -7 4 9
115 -8 4 9
116 -7 3 8
117 -6 4 7
118 -5 3 6
119 -5 3 6
120 -5 4 7
121 -5 4 8
122 -6 4 9
123 -7 4 10
124 -7 4 9
125 -6 5 8
126 -6 5 9
127 -7 4 9
128 -6 3 9
129 -5 3 8
130 -4 3 7
131 -5 3 7
132 -5 3 8
133 -6 2 8
134 -6 2 8
135 -6 2 8
136 -6 2 8
137 -6 2 9
138 -6 2 9
139 -6 3 9
140 -6 4 10
141 -7 4 10
142 -7 4 10
143 -6 4 9
144 -6 4 8
145 -6 3 8
146 -5 3 7
147 -5 3 7
148 -4 3 7
149 -5 2 8
150 -5 2 9
151 -6 2 9
152 -6 2 10
153 -5 2 10
154 -5 2 9
155 -5 2 9
156 -4 2 9
157 -5 2 9
158 -4 2 9
159 -4 2 9
160 -4 2 9
161 -5 3 9
162 -5 4 10
163 -5 5 10
164 -4 6 10
165 -4 6 11
166 -4 5 10
167 -3 5 9
168 -4 4 8
169 -4 3 8
170 -5 2 8
171 -5 2 9
172 -5 2 10
173 -5 3 10
174 -5 3 10
175 -5 3 10
176 -5 3 9
177 -4 3 9
178 -4 3 9
179 -4 3 10
180 -4 2 11
181 -5 2 10
182 -5 2 9
183 -5 3 10
184 -5 3 11
185 -5 3 10
186 -3 4 9
187 -3 4 9
188 -4 3 10
189 -4 3 10
190 -4 2 8
191 -3 2 8
192 -3 1 8
193 -4 1 8
194 -4 1 8
195 -4 1 8
196 -5 1 9
197 -5 1 10
198 -5 1 10
199 -5 2 10
200 -4 2 9
201 -4 2 8
202 -4 2 8
203 -4 1 9
204 -5 2 10
205 -4 4 11
206 -5 4 13
207 -6 4 13
208 -5 5 11
209 -4 5 8
210 -4 5 6
211 -5 4 7
212 -5 3 8
213 -4 3 7
214 -4 3 8
215 -4 3 9
216 -5 3 10
217 -5 2 10
218 -5 2 9
219 -5 2 9
220 -5 2 9
221 -5 1 8
222 -5 1 8
223 -6 1 9
224 -6 1 9
225 -6 1 9
226 -7 1 9
227 -8 1 9
228 -8 1 9
229 -8 1 9
230 -7 1 8
231 -7 1 8
232 -6 1 7
233 -6 1 7
234 -6 2 7
235 -7 3 9
236 -8 3 11
237 -8 3 11
238 -6 3 11
239 -5 3 9
240 -4 3 6
241 -3 3 6
242 -3 3 7
243 -5 2 9
244 -6 2 9
245 -6 3 9
246 -5 3 10
247 -6 2 10
248 -7 1 10
249 -6 1 9
250 -6 1 9
251 -6 1 9
252 -7 1 8
253 -7 1 8
254 -7 1 8
255 -8 1 8
256 -7 2 9
257 -8 2 9
258 -9 2 9
259 -9 2 8
260 -9 1 7
261 -8 1 7
262 -8 1 7
263 -8 1 7
264 -8 1 6
265 -8 1 5
266 -8 1 4
267 -7 2 4
268 -8 1 5
269 -8 1 5
270 -9 1 4
271 -9 0 4
272 -8 1 3
273 -8 1 2
274 -7 1 3
275 -6 1 4
276 -6 1 4
277 -5 2 5
278 -5 2 6
279 -6 3 7
280 -7 3 7
281 -9 3 8
282 -11 3 7
283 -11 3 8
284 -10 3 9
285 -12 3 9
286 -13 4 8
287 -13 4 7
288 -14 5 6
289 -14 5 6
290 -14 5 5
291 -15 6 4
292 -14 6 4
293 -14 6 3
294 -13 5 3
295 -12 5 3
296 -11 6 2
297 -10 5 -2
298 -9 4 -4
299 -10 3 -6
300 -9 2 -6
301 -9 2 -7
302 -9 2 -7
303 -8 2 -6
304 -6 2 -6
305 -3 2 -4
306 -1 1 -2
