t x y z
0 4 -5 10
1 3 -4 10
2 1 -3 9
3 2 -4 11
4 3 -4 11
5 2 -4 10
6 2 -4 9
7 2 -4 10
8 2 -3 9
9 1 -2 8
10 0 -1 7
11 -1 -1 6
12 1 -1 6
13 1 -1 6
14 2 -1 7
15 3 -1 8
16 4 -2 8
17 4 -2 8
18 3 -2 8
19 2 -2 8
20 3 -2 9
21 5 -2 9
22 4 -2 10
23 3 -2 10
24 4 -1 10
25 5 -1 10
26 6 0 10
27 5 1 10
28 5 1 9
29 6 2 8
30 7 2 7
31 7 3 6
32 8 4 6
33 8 6 7
34 7 8 11
35 7 9 13
36 8 9 13
37 8 7 13
38 7 6 11
39 7 5 8
40 6 5 5
41 6 5 3
42 6 6 2
43 5 8 2
44 5 10 3
45 5 11 4
46 6 11 6
47 6 11 8
48 7 11 9
49 9 9 9
50 9 8 7
51 8 8 5
52 7 9 4
53 5 8 4
54 5 8 4
55 5 7 4
56 5 7 4
57 5 7 4
58 5 7 5
59 4 8 5
60 4 10 7
61 5 11 8
62 8 11 11
63 10 10 12
64 9 10 12
65 7 11 11
66 6 11 9
67 5 12 7
68 5 12 5
69 4 11 3
70 4 11 2
71 3 10 1
72 3 9 -1
73 4 9 -1
74 4 10 -1
75 4 10 1
76 4 10 2
77 4 10 3
78 4 10 4
79 5 10 5
80 6 11 5
81 6 11 5
82 5 10 5
83 6 9 5
84 6 8 5
85 7 7 4
86 6 7 3
87 6 7 2
88 5 7 3
89 6 8 5
90 9 9 6
91 12 10 7
92 12 11 10
93 10 11 11
94 6 11 11
95 5 10 11
96 5 10 8
97 6 11 6
98 5 11 5
99 4 11 4
100 3 11 5
101 4 11 6
102 4 11 6
103 5 11 6
104 4 11 6
105 4 12 6
106 4 12 5
107 3 13 5
108 3 12 4
109 1 11 3
110 -3 9 3
111 -4 7 3
112 -2 8 3
113 1 10 -1
114 4 10 -3
115 8 9 -3
116 11 8 -1
117 12 6 1
118 11 6 3
119 9 7 5
120 6 8 8
121 5 8 10
122 6 8 11
123 6 8 10
124 6 10 8
125 6 11 8
126 4 11 8
127 3 11 9
128 3 11 10
129 2 11 9
130 -1 11 9
131 -2 11 9
132 -2 11 8
133 -2 10 7
134 -2 10 6
135 -2 9 5
136 -2 9 4
137 -2 9 4
138 0 9 4
139 2 10 4
140 3 10 6
141 5 10 7
142 4 9 7
143 3 8 8
144 3 7 9
145 4 8 9
146 4 8 8
147 5 7 8
148 5 6 8
149 5 5 7
150 4 4 6
151 3 4 5
152 1 3 5
153 -1 3 5
154 -2 4 6
155 -2 5 7
156 -1 5 8
157 1 6 9
158 1 7 10
159 1 9 11
160 2 10 11
161 3 11 11
162 3 11 11
163 2 11 10
164 1 10 9
165 1 9 7
166 1 9 6
167 3 8 6
168 5 8 6
169 6 7 6
170 6 6 6
171 5 6 6
172 4 6 6
173 3 6 6
174 2 7 7
175 1 8 7
176 1 9 8
177 2 9 10
178 3 7 11
179 4 6 10
180 4 5 8
181 3 5 6
182 3 4 6
183 2 4 6
184 1 5 7
185 -1 5 8
186 -2 5 9
187 -2 6 9
188 -3 8 9
189 -2 10 11
190 -1 11 11
191 2 11 12
192 4 10 12
193 4 10 11
194 3 9 10
195 1 9 8
196 1 8 7
197 1 8 7
198 2 8 6
199 4 8 6
200 5 7 6
201 6 7 6
202 6 6 6
203 5 5 6
204 3 5 6
205 2 4 6
206 1 3 6
207 1 3 7
208 2 3 8
209 2 4 11
210 1 5 11
211 -1 6 12
212 -1 8 12
213 1 10 11
214 2 10 11
215 3 10 10
216 3 8 9
217 3 7 6
218 3 5 5
219 4 4 4
220 4 3 4
221 4 3 5
222 4 4 6
223 4 5 8
224 2 7 9
225 1 8 11
226 1 9 11
227 -1 9 11
228 -1 7 11
229 2 7 10
230 3 8 7
231 3 9 6
232 3 9 8
233 3 8 10
234 2 7 10
235 1 7 9
236 2 7 8
237 3 7 7
238 3 7 7
239 4 7 7
240 4 7 8
241 3 7 8
242 3 8 9
243 2 8 9
244 2 8 10
245 2 7 10
246 3 7 8
247 2 6 8
248 1 5 8
249 -1 4 8
250 -1 4 7
251 -1 4 6
252 1 4 6
253 0 5 8
254 0 5 10
255 1 6 10
256 2 6 10
257 1 6 12
258 1 5 12
259 1 3 13
260 2 4 13
261 1 4 12
262 -3 4 11
263 -4 4 11
264 -3 4 11
265 -3 4 10
266 -2 5 9
267 -2 5 7
268 0 6 6
269 0 6 6
270 -2 5 8
271 -2 4 8
272 0 3 8
273 0 3 9
274 -2 3 10
275 -2 3 11
276 -1 3 11
277 1 3 9
278 -1 3 9
279 -1 2 8
280 -1 2 8
281 -1 2 9
282 -1 2 9
