t x y z
0 -1 2 -2
1 -2 -1 -3
2 -1 -2 -3
3 1 -2 -2
4 -3 -4 -1
5 -3 -4 1
6 -3 -4 1
7 -2 -3 1
8 1 -1 3
9 2 1 4
10 -1 1 5
11 -1 -1 6
12 0 -1 6
13 -1 -2 7
14 -3 -2 9
15 -4 -3 11
16 -3 -1 11
17 -2 1 11
18 -2 2 11
19 -3 2 12
20 -2 3 12
21 1 4 12
22 1 4 12
23 -1 4 12
24 -1 4 13
25 -1 5 13
26 -1 5 12
27 -2 4 13
28 -2 4 12
29 1 5 11
30 1 5 11
31 -2 4 12
32 -3 3 11
33 -1 4 11
34 1 5 11
35 1 5 11
36 1 5 11
37 1 4 10
38 2 4 9
39 4 4 9
40 5 4 9
41 5 4 9
42 6 5 10
43 6 5 9
44 5 5 9
45 5 5 8
46 5 5 8
47 4 5 8
48 3 6 8
49 3 6 9
50 2 7 9
51 1 7 8
52 -1 6 9
53 -1 6 10
54 -2 6 10
55 -2 5 10
56 -2 4 9
57 -1 4 8
58 0 5 8
59 1 5 9
60 1 5 9
61 1 6 10
62 2 7 9
63 2 7 9
64 1 6 8
65 1 6 8
66 0 5 8
67 1 5 7
68 1 5 8
69 1 5 9
70 2 6 10
71 2 6 10
72 2 6 10
73 2 6 11
74 4 7 11
75 5 6 9
76 5 5 7
77 3 5 9
78 3 6 11
79 4 6 11
80 4 7 11
81 4 7 11
82 3 6 10
83 3 6 9
84 2 6 9
85 2 6 9
86 2 6 8
87 2 6 8
88 2 6 8
89 2 6 8
90 1 5 8
91 0 4 8
92 0 4 8
93 2 4 8
94 3 6 9
95 3 8 9
96 2 9 10
97 -1 8 11
98 -2 7 11
99 -2 5 9
100 -2 4 8
101 -2 3 7
102 -2 4 8
103 -1 4 9
104 1 5 9
105 1 5 9
106 2 5 8
107 2 6 9
108 3 6 9
109 3 7 9
110 2 6 9
111 1 6 9
112 1 5 9
113 2 5 9
114 2 5 9
115 2 5 11
116 1 6 12
117 2 6 12
118 2 5 11
119 1 4 8
120 1 3 8
121 1 3 8
122 2 4 9
123 2 5 9
124 1 5 10
125 1 5 10
126 0 5 10
127 -1 4 10
128 -1 4 10
129 -1 4 10
130 0 3 10
131 1 2 9
132 1 2 9
133 2 2 10
134 3 3 10
135 4 3 10
136 3 4 10
137 2 4 10
138 1 5 11
139 -1 6 11
140 0 6 12
141 0 6 11
142 0 5 10
143 1 4 9
144 1 4 8
145 1 4 7
146 2 5 8
147 2 5 8
148 1 5 9
149 0 5 8
150 -1 5 8
151 -1 5 8
152 -1 5 8
153 -2 5 8
154 -2 5 9
155 -2 6 10
156 -1 6 10
157 -2 5 9
158 -2 5 9
159 1 6 10
160 2 6 10
161 2 6 10
162 2 6 10
163 1 6 10
164 1 5 10
165 1 5 10
166 1 5 9
167 1 6 10
168 1 6 10
169 1 6 10
170 0 5 9
171 -2 4 9
172 -2 4 10
173 -1 4 10
174 1 5 10
175 1 5 10
176 0 5 9
177 0 5 9
178 -1 5 9
179 -2 6 9
180 -1 6 10
181 -1 7 10
182 0 8 10
183 1 9 10
184 -1 8 9
185 -2 7 8
186 -2 6 8
187 -1 6 9
188 0 6 8
189 1 5 8
190 1 4 7
191 2 5 7
192 1 5 8
193 1 4 9
194 1 3 9
195 1 3 8
196 1 3 8
197 1 3 9
198 1 4 10
199 1 5 10
200 1 5 10
201 1 5 10
202 1 5 10
203 2 5 10
204 3 6 10
205 4 5 9
206 3 4 8
207 2 5 10
208 2 5 11
209 2 5 11
210 1 3 10
211 0 3 11
212 -1 2 11
213 1 3 11
214 2 4 11
215 2 4 11
216 1 3 11
217 -1 3 12
218 0 3 11
219 1 2 8
220 -1 1 7
221 -1 2 8
222 1 3 8
223 1 3 8
