t x y z
345 2 -2 11
346 2 -2 11
347 2 -1 11
348 2 -1 12
349 1 -1 12
350 2 -1 12
351 0 -1 12
352 -1 -1 12
353 -1 -1 12
354 -1 -1 12
355 -3 -1 12
356 -3 -1 12
357 -3 -1 11
358 -3 -2 10
359 -3 -2 10
360 -3 -2 10
361 -2 -1 9
362 -2 -1 10
363 -3 -2 11
364 -2 -1 10
365 -1 -1 10
366 -1 -1 10
367 -2 -2 10
368 -1 -1 10
369 1 -1 10
370 0 -1 10
371 -1 -1 11
372 -1 0 10
373 1 1 9
374 1 1 9
375 -1 2 8
376 1 2 7
377 1 2 5
378 -1 2 4
379 -2 2 6
380 -3 2 7
381 -4 2 7
382 -4 3 8
383 -4 3 10
384 -5 3 11
385 -5 3 11
386 -5 4 11
387 -6 4 11
388 -6 4 11
389 -6 4 11
390 -7 4 11
391 -7 4 11
392 -6 4 11
393 -6 5 11
394 -5 4 10
395 -6 4 11
396 -6 3 11
397 -5 4 10
398 -4 4 8
399 -3 4 8
400 -3 4 8
401 -3 4 7
402 -3 3 7
403 -2 3 6
404 -3 3 6
405 -3 3 6
406 -3 3 7
407 -2 3 6
408 -2 3 7
409 -1 3 7
410 -1 3 8
411 -3 3 8
412 -4 3 9
413 -4 3 10
414 -4 5 11
415 -4 5 11
416 -4 5 11
417 -4 6 11
418 -5 4 11
419 -5 3 11
420 -4 3 11
421 -5 4 11
422 -6 2 11
423 -5 2 11
424 -3 3 11
425 -5 2 11
426 -5 2 11
427 -3 3 11
428 -3 2 11
429 -5 1 11
430 -5 1 11
431 -4 2 10
432 -5 1 11
433 -5 1 12
434 -5 -1 10
435 -3 1 11
436 0 2 10
437 -3 -2 12
438 -4 -4 11
439 -1 -1 10
440 1 2 10
441 1 1 10
442 0 -1 10
443 0 -1 10
444 -1 -1 11
445 -2 0 11
446 -1 0 10
447 -1 -1 10
448 -2 -1 10
449 -2 -1 11
450 -1 -1 11
451 -1 -1 12
452 0 -2 12
453 0 -1 13
454 -1 0 13
455 -1 0 13
456 -2 0 13
457 -2 1 12
458 -1 2 11
459 -1 2 11
460 -1 2 11
461 -1 2 11
462 -1 1 10
463 -2 1 11
464 -2 0 11
465 -1 -1 11
466 -1 1 11
467 -2 1 11
468 -2 -1 11
469 -2 -1 11
470 -2 1 11
471 -1 1 9
472 -1 0 9
473 -2 -1 10
474 -3 -1 11
475 -2 -2 11
476 -2 -2 11
477 -2 -2 12
478 -2 -3 11
479 -1 -3 11
480 -1 -3 10
481 -1 -3 10
482 -2 -3 10
483 -2 -2 9
484 -1 -2 8
485 -1 -2 9
486 0 -2 11
487 2 0 11
488 2 1 11
489 1 1 11
490 1 0 10
491 2 0 9
492 1 -1 9
493 0 -1 8
494 0 -1 8
495 -1 -2 8
496 -1 -2 7
497 0 -2 7
498 -1 -2 7
499 -2 -3 7
500 -2 -3 7
501 -2 -3 6
502 -1 -3 7
503 -2 -4 8
504 -1 -3 8
505 0 -3 9
506 -1 -4 9
507 -2 -4 9
508 -1 -4 9
509 0 -4 10
510 1 -4 10
511 2 -3 11
512 4 -2 11
513 5 -2 11
514 3 -3 11
515 3 -3 11
516 3 -3 11
517 2 -3 10
518 0 -4 10
519 -1 -3 9
520 -1 -4 10
521 -2 -4 10
522 -3 -4 10
523 -3 -4 9
524 -4 -4 9
525 -5 -5 8
526 -5 -5 8
527 -6 -5 8
528 -6 -5 8
529 -5 -4 8
530 -5 -4 8
531 -5 -4 8
532 -4 -4 8
533 -2 -3 8
534 -2 -3 9
535 -2 -3 9
536 -1 -2 10
537 -2 -3 11
538 -2 -3 11
539 -1 -3 11
540 -1 -2 11
541 1 -2 11
542 1 -2 12
543 2 -2 11
544 2 -2 12
545 3 -1 12
546 3 -1 11
547 2 -2 11
548 3 -1 11
549 4 -1 11
550 3 -1 11
551 2 -2 11
552 3 -1 11
553 2 -1 11
554 1 -2 11
555 1 -2 11
556 0 -1 11
557 -2 -2 10
558 -3 -2 11
559 -3 -2 11
560 -2 -2 10
561 -4 -3 10
562 -4 -3 10
563 -3 -2 10
564 -3 -3 10
565 -4 -3 9
566 -4 -4 9
567 -3 -3 9
568 -2 -3 10
569 -2 -3 10
570 -2 -2 10
571 -2 -2 9
572 -1 -2 9
573 -1 -2 9
574 -1 -2 10
575 -1 -2 9
576 1 -1 9
577 -1 -1 9
