x y label
0.8234624146 0.9151898734 {\tiny$GesA$}
0.8764204545 0.7293144208 {\tiny$GesB$}
0.8696498054 0.5215869312 {\tiny$GesC$}
0.8768115942 0.554029304 {\tiny$GesD$}
0.7613908873 0.7868649318 {\tiny$GesE$}
0.7587454765 0.7246543779 {\tiny$GesF$}
0.8589065256 0.5960832313 {\tiny$GesG$}
0.9818511797 0.518696069 {\tiny$GesH$}
