x y C
8 15 22.0
8 16 24.0
8 17 18.0
8 18 14.0
8 19 18.0
8 20 4.0
8 21 2.0
8 22 1.0
8 23 12.0
8 24 15.0
8 25 22.0
8 26 28.0
8 27 26.0
8 28 19.0
8 29 20.0
8 30 31.0
8 31 37.0
8 32 37.0
8 33 33.0
8 34 33.0
8 35 26.0
8 36 20.0
8 37 19.0
8 38 15.0
8 39 11.0
8 40 8.0
8 41 4.0
8 42 1.0
8 43 5.0
8 44 1.0
8 45 2.0
8 46 8.0
8 47 17.0
9 0 5.0
9 1 18.0
9 2 7.0
9 3 2.0
9 4 16.0
9 5 12.0
9 6 2.0
9 7 11.0
9 8 10.0
9 9 16.0
9 10 21.0
9 11 26.0
9 12 25.0
9 13 30.0
9 14 31.0
9 15 20.0
9 16 22.0
9 17 16.0
9 18 12.0
9 19 16.0
9 20 2.0
9 21 0.0
9 22 3.0
9 23 14.0
9 24 17.0
9 25 24.0
9 26 30.0
9 27 28.0
9 28 21.0
9 29 22.0
9 30 33.0
9 31 39.0
9 32 39.0
9 33 35.0
9 34 35.0
9 35 28.0
9 36 22.0
9 37 21.0
9 38 17.0
9 39 13.0
9 40 10.0
9 41 6.0
9 42 1.0
9 43 3.0
9 44 1.0
9 45 0.0
9 46 6.0
9 47 15.0
10 0 1.0
10 1 14.0
10 2 3.0
10 3 2.0
10 4 12.0
10 5 8.0
10 6 2.0
10 7 15.0
10 8 14.0
10 9 20.0
10 10 25.0
10 11 30.0
10 12 29.0
10 13 34.0
10 14 35.0
10 15 24.0
10 16 26.0
10 17 20.0
10 18 16.0
10 19 20.0
10 20 6.0
10 21 4.0
10 22 1.0
10 23 10.0
10 24 13.0
10 25 20.0
10 26 26.0
10 27 24.0
10 28 17.0
10 29 18.0
10 30 29.0
10 31 35.0
10 32 35.0
10 33 31.0
10 34 31.0
10 35 24.0
10 36 18.0
10 37 17.0
10 38 13.0
10 39 9.0
10 40 6.0
10 41 2.0
10 42 3.0
10 43 7.0
10 44 3.0
10 45 4.0
10 46 10.0
10 47 19.0
11 0 1.0
11 1 14.0
11 2 3.0
11 3 2.0
11 4 12.0
11 5 8.0
11 6 2.0
11 7 15.0
11 8 14.0
11 9 20.0
11 10 25.0
11 11 30.0
11 12 29.0
11 13 34.0
11 14 35.0
11 15 24.0
11 16 26.0
11 17 20.0
11 18 16.0
11 19 20.0
11 20 6.0
11 21 4.0
11 22 1.0
11 23 10.0
11 24 13.0
11 25 20.0
11 26 26.0
11 27 24.0
11 28 17.0
11 29 18.0
11 30 29.0
11 31 35.0
11 32 35.0
11 33 31.0
11 34 31.0
11 35 24.0
11 36 18.0
11 37 17.0
11 38 13.0
11 39 9.0
11 40 6.0
11 41 2.0
11 42 3.0
11 43 7.0
11 44 3.0
11 45 4.0
11 46 10.0
11 47 19.0
12 0 5.0
12 1 18.0
12 2 7.0
12 3 2.0
12 4 16.0
12 5 12.0
12 6 2.0
12 7 11.0
12 8 10.0
12 9 16.0
12 10 21.0
12 11 26.0
12 12 25.0
12 13 30.0
12 14 31.0
12 15 20.0
12 16 22.0
12 17 16.0
12 18 12.0
12 19 16.0
12 20 2.0
12 21 0.0
12 22 3.0
12 23 14.0
12 24 17.0
12 25 24.0
12 26 30.0
12 27 28.0
12 28 21.0
12 29 22.0
12 30 33.0
12 31 39.0
12 32 39.0
12 33 35.0
12 34 35.0
12 35 28.0
12 36 22.0
12 37 21.0
12 38 17.0
12 39 13.0
12 40 10.0
12 41 6.0
12 42 1.0
12 43 3.0
12 44 1.0
12 45 0.0
12 46 6.0
12 47 15.0
13 0 5.0
13 1 18.0
13 2 7.0
13 3 2.0
13 4 16.0
13 5 12.0
13 6 2.0
13 7 11.0
13 8 10.0
13 9 16.0
13 10 21.0
13 11 26.0
13 12 25.0
13 13 30.0
13 14 31.0
13 15 20.0
13 16 22.0
13 17 16.0
13 18 12.0
13 19 16.0
13 20 2.0
13 21 0.0
13 22 3.0
13 23 14.0
13 24 17.0
13 25 24.0
13 26 30.0
13 27 28.0
13 28 21.0
13 29 22.0
13 30 33.0
13 31 39.0
13 32 39.0
13 33 35.0
13 34 35.0
13 35 28.0
13 36 22.0
13 37 21.0
13 38 17.0
13 39 13.0
13 40 10.0
13 41 6.0
13 42 1.0
13 43 3.0
13 44 1.0
13 45 0.0
13 46 6.0
