x y fscore
0.851 0.497 0.745
0.802 0.579 0.745
0.801 0.580 0.744
0.834 0.521 0.744
0.891 0.449 0.744
0.785 0.615 0.744
0.890 0.449 0.744
0.805 0.570 0.744
0.844 0.503 0.744
0.848 0.498 0.743
0.839 0.511 0.743
0.867 0.473 0.743
0.818 0.543 0.743
0.794 0.590 0.743
0.810 0.558 0.743
0.780 0.624 0.743
0.836 0.512 0.742
0.836 0.512 0.742
0.836 0.512 0.742
0.785 0.610 0.742
0.831 0.519 0.742
0.778 0.625 0.742
0.870 0.467 0.742
0.870 0.467 0.742
0.835 0.513 0.742
0.818 0.539 0.741
0.797 0.580 0.741
0.839 0.506 0.741
0.779 0.620 0.741
0.776 0.629 0.741
0.821 0.533 0.741
0.832 0.515 0.741
0.785 0.605 0.741
0.797 0.576 0.740
0.847 0.492 0.740
0.861 0.474 0.740
0.833 0.511 0.740
0.837 0.506 0.740
0.822 0.529 0.740
0.786 0.598 0.740
0.817 0.535 0.739
0.864 0.469 0.739
0.765 0.651 0.739
0.825 0.521 0.739
0.814 0.538 0.738
0.769 0.636 0.738
0.862 0.468 0.738
0.859 0.472 0.738
0.828 0.514 0.738
0.774 0.621 0.737
0.861 0.468 0.737
0.817 0.530 0.737
0.838 0.497 0.737
0.833 0.504 0.737
0.806 0.547 0.736
0.801 0.556 0.736
0.835 0.499 0.736
0.846 0.484 0.736
0.857 0.470 0.736
0.766 0.634 0.736
0.776 0.607 0.735
0.796 0.563 0.735
0.856 0.470 0.735
0.836 0.496 0.735
0.773 0.614 0.735
0.808 0.539 0.735
0.839 0.491 0.735
0.848 0.479 0.735
0.757 0.657 0.735
0.845 0.482 0.734
0.772 0.614 0.734
0.862 0.460 0.734
0.832 0.499 0.734
0.837 0.491 0.734
0.833 0.496 0.734
0.776 0.601 0.733
0.837 0.490 0.733
0.766 0.626 0.733
0.771 0.612 0.733
0.861 0.459 0.733
0.828 0.501 0.733
0.805 0.538 0.732
0.860 0.459 0.732
0.831 0.496 0.732
0.834 0.491 0.732
0.842 0.481 0.732
0.856 0.462 0.732
0.844 0.478 0.732
0.859 0.459 0.732
0.858 0.459 0.731
0.837 0.485 0.731
0.841 0.480 0.731
0.833 0.490 0.731
0.865 0.451 0.731
0.764 0.623 0.731
0.777 0.588 0.730
0.835 0.487 0.730
0.842 0.477 0.730
0.791 0.558 0.730
0.816 0.513 0.730
0.851 0.466 0.730
0.760 0.631 0.730
0.840 0.478 0.730
0.775 0.592 0.730
