x y u v
0 0.5495645330636145 0 -0.5485021802097786
1 1.2572964195455378 0 -0.593325885897956
2 0.48522527065616694 0 -0.3821770438340624
3 0.48522527065616694 0 -0.637141728754734
3 0.48522527065616694 1 0.07675938902314627
4 0.16352895861892908 1 0.19448395312384692
5 -0.4798636654555466 1 0.3279472073569796
6 -0.6728814526778893 1 -0.1419431862144236
7 -0.6728814526778893 1 -0.09095024923028938
7 -0.6728814526778893 2 -0.3969078711350952
8 -1.5092918639747077 2 0.1845378552410517
9 -1.6379703887896029 2 0.058251695135275394
10 -1.3806133391598125 2 -0.14811241751038073
11 -1.3806133391598125 1 -0.14811241751038073
12 -1.6379703887896029 1 -0.14572005280126188
13 -1.6379703887896029 1 -0.1967129897853961
14 -1.5736311263821554 1 0.2998700546326336
15 -1.4449526015672602 1 0.0692056558494698
16 -0.9302385023076796 1 -0.13955082150530496
16 -0.9302385023076796 2 0.06442092643123232
17 -1.0589170271225747 2 -0.010872296690409788
18 -0.6085421902704418 2 0.2526539842353375
19 -0.22250661582575634 2 -0.03139571624107931
20 -0.029488828603413623 2 -0.0714346925110191
21 0.29220748343382424 1 -0.39313100454825695
22 0.03485043380403395 0 -0.13577395491846667
23 0.5495645330636145 0 -0.08956574735256989
24 0.8069215826934047 0 -0.19394398602995722
25 0.7425823202859572 0 0.22734583526643048
26 1.2572964195455378 0 0.018589357911655613
27 1.3216356819529853 -1 -0.04574990449579186
28 1.385974944360433 -2 -0.11008916690323955
29 1.3216356819529853 -3 -0.04574990449579186
30 1.1286178947306427 -3 0.045282008758282144
30 1.1286178947306427 -2 -0.31166855013065786
31 1.1929571571380901 -2 -0.3250148755539711
32 1.385974944360433 -2 0.04288964404916351
32 1.385974944360433 -1 0.3488472659539692
32 1.385974944360433 0 0.3488472659539692
32 1.385974944360433 1 0.14487551801743193
32 1.385974944360433 2 0.14487551801743193
33 1.1286178947306427 2 0.045282008758282144
34 0.8069215826934047 2 0.061020698890714264
35 0.9356001075082999 1 -0.0676578259241809
36 1.064278632323195 0 -0.19633635073907596
37 0.8069215826934047 0 0.010027761906580057
38 0.6139037954710621 0 -9.261988076145755E-4
39 0.48522527065616694 0 -0.07621942192925663
40 0.42088600824871936 -1 -0.011880159521809042
41 0.16352895861892908 -1 0.09249807915557834
42 0.03485043380403395 -1 0.01720485603393624
43 -0.22250661582575634 -1 0.019597220743055005
43 -0.22250661582575634 0 -0.1843745271934822
43 -0.22250661582575634 1 0.019597220743055005
43 -0.22250661582575634 2 -0.03139571624107931
44 -0.5442029278629942 2 -0.015657026108647276
45 -0.865899239900232 2 -0.1528971469286181
46 -1.18759555193747 1 0.1687991651086198
47 -1.1232562895300222 0 0.10445990270117211
