x y C
0 0 0.5485021802097786
0 1 0.11440600058396733
0 2 0.44651630624151
0 3 0.7014809911621815
0 4 0.01242012661569869
0 5 0.19155162132083853
0 6 0.7014809911621815
0 7 1.3643891719559273
0 8 1.3133962349717931
0 9 1.619353856876599
0 10 1.8743185417972705
0 11 2.1292832267179422
0 12 2.0782902897338076
0 13 2.333254974654479
0 14 2.3842479116386137
0 15 1.8233256048131363
0 16 1.925311478781405
0 17 1.619353856876599
0 18 1.4153821089400618
0 19 1.619353856876599
0 20 0.9054527390987188
0 21 0.8034668651304502
0 22 0.6504880541780472
0 23 0.08956574735256989
0 24 0.06341306359983301
0 25 0.4203636224887731
0 26 0.7263212443935789
0 27 0.6243353704253103
0 28 0.2673848115363703
0 29 0.3183777485205045
0 30 0.879300055345982
0 31 1.1852576772507877
0 32 1.1852576772507877
0 33 0.9812859293142504
0 34 0.9812859293142504
0 35 0.6243353704253103
0 36 0.3183777485205045
0 37 0.2673848115363703
0 38 0.06341306359983301
0 39 0.1405586843367042
0 40 0.2935374952891071
0 41 0.4975092432256443
0 42 0.7524739281463159
0 43 0.956445676082853
0 44 0.7524739281463159
0 45 0.8034668651304502
0 46 1.1094244870352559
0 47 1.5683609198924646
1 0 1.256234066691702
1 1 0.593325885897956
1 2 1.1542481927234334
1 3 1.4092128776441049
1 4 0.6953117598662246
1 5 0.8992835078027619
1 6 1.4092128776441049
1 7 2.0721210584378507
1 8 2.0211281214537165
1 9 2.3270857433585226
1 10 2.582050428279194
1 11 2.8370151131998655
1 12 2.786022176215731
1 13 3.0409868611364024
1 14 3.091979798120537
1 15 2.5310574912950594
1 16 2.6330433652633283
1 17 2.3270857433585226
1 18 2.123113995421985
1 19 2.3270857433585226
1 20 1.6131846255806421
1 21 1.5111987516123735
1 22 1.3582199406599706
1 23 0.7972976338344933
1 24 0.6443188228820903
1 25 0.2873682639931502
1 26 0.018589357911655613
1 27 0.08339651605661302
1 28 0.44034707494555303
1 29 0.3893541379614188
1 30 0.17156816886405868
1 31 0.47752579076886437
1 32 0.47752579076886437
1 33 0.2735540428323271
1 34 0.2735540428323271
1 35 0.08339651605661302
1 36 0.3893541379614188
1 37 0.44034707494555303
1 38 0.6443188228820903
1 39 0.8482905708186275
1 40 1.0012693817710305
1 41 1.2052411297075676
1 42 1.4602058146282393
1 43 1.6641775625647763
1 44 1.4602058146282393
1 45 1.5111987516123735
1 46 1.8171563735171792
1 47 2.276092806374388
2 0 0.48416291780233106
2 1 0.1787452629914149
2 2 0.3821770438340624
2 3 0.637141728754734
2 4 0.07675938902314627
2 5 0.12721235891339094
2 6 0.637141728754734
2 7 1.3000499095484799
2 8 1.2490569725643457
2 9 1.5550145944691516
2 10 1.809979279389823
2 11 2.0649439643104945
2 12 2.0139510273263603
2 13 2.268915712247032
2 14 2.319908649231166
2 15 1.7589863424056889
2 16 1.8609722163739573
2 17 1.5550145944691516
2 18 1.3510428465326143
2 19 1.5550145944691516
