x y
0.7007757056 2555
0.7194730077 2255
0.7235369364 1951
0.7235369364 1680
0.7235369364 1447
0.7235369364 1246
0.7318696996 1087
0.7318696996 964
0.7318696996 847
0.7318696996 728
0.7383936313 679
