x y
0.6335078534 3624
0.6662138066 3368
0.6995992476 2824
0.7058436755 3050
0.7095939168 2557
0.7188925342 2282
0.7188925342 2062
0.7318696996 1918
0.7318696996 1767
0.7318696996 1563
0.7318696996 1319
