x y
0 0
1 1
2 2
3 3
3 4
4 5
5 6
6 7
7 8
8 9
9 9
10 9
11 9
12 10
13 11
13 12
13 13
13 14
13 15
14 16
15 17
16 18
17 19
18 20
19 21
20 22
21 22
22 22
23 23
24 24
25 24
26 25
27 25
28 26
29 27
30 28
31 29
32 30
32 31
32 32
32 33
32 34
32 35
33 36
34 37
35 37
36 37
37 38
38 38
39 39
40 39
41 40
42 41
43 42
44 43
44 44
44 45
45 46
46 47
47 47
