x y C
0 0 9.0
0 1 4.0
0 2 7.0
0 3 12.0
0 4 2.0
0 5 2.0
0 6 12.0
0 7 25.0
0 8 24.0
0 9 30.0
0 10 35.0
0 11 40.0
0 12 39.0
0 13 44.0
0 14 45.0
0 15 34.0
0 16 36.0
0 17 30.0
0 18 26.0
0 19 30.0
0 20 16.0
0 21 14.0
0 22 11.0
0 23 0.0
0 24 3.0
0 25 10.0
0 26 16.0
0 27 14.0
0 28 7.0
0 29 8.0
0 30 19.0
0 31 25.0
0 32 25.0
0 33 21.0
0 34 21.0
0 35 14.0
0 36 8.0
0 37 7.0
0 38 3.0
0 39 1.0
0 40 4.0
0 41 8.0
0 42 13.0
0 43 17.0
0 44 13.0
0 45 14.0
0 46 20.0
0 47 29.0
1 0 20.0
1 1 7.0
1 2 18.0
1 3 23.0
1 4 9.0
1 5 13.0
1 6 23.0
1 7 36.0
1 8 35.0
1 9 41.0
1 10 46.0
1 11 51.0
1 12 50.0
1 13 55.0
1 14 56.0
1 15 45.0
1 16 47.0
1 17 41.0
1 18 37.0
1 19 41.0
1 20 27.0
1 21 25.0
1 22 22.0
1 23 11.0
1 24 8.0
1 25 1.0
1 26 5.0
1 27 3.0
1 28 4.0
1 29 3.0
1 30 8.0
1 31 14.0
1 32 14.0
1 33 10.0
1 34 10.0
1 35 3.0
1 36 3.0
1 37 4.0
1 38 8.0
1 39 12.0
1 40 15.0
1 41 19.0
1 42 24.0
1 43 28.0
1 44 24.0
1 45 25.0
1 46 31.0
1 47 40.0
2 0 8.0
2 1 5.0
2 2 6.0
2 3 11.0
2 4 3.0
2 5 1.0
2 6 11.0
2 7 24.0
2 8 23.0
2 9 29.0
2 10 34.0
2 11 39.0
2 12 38.0
2 13 43.0
2 14 44.0
2 15 33.0
2 16 35.0
2 17 29.0
2 18 25.0
2 19 29.0
2 20 15.0
2 21 13.0
2 22 10.0
2 23 1.0
2 24 4.0
2 25 11.0
2 26 17.0
2 27 15.0
2 28 8.0
2 29 9.0
2 30 20.0
2 31 26.0
2 32 26.0
2 33 22.0
2 34 22.0
2 35 15.0
2 36 9.0
2 37 8.0
2 38 4.0
2 39 0.0
2 40 3.0
2 41 7.0
2 42 12.0
2 43 16.0
2 44 12.0
2 45 13.0
2 46 19.0
2 47 28.0
3 0 8.0
3 1 5.0
3 2 6.0
3 3 11.0
3 4 3.0
3 5 1.0
3 6 11.0
3 7 24.0
3 8 23.0
3 9 29.0
3 10 34.0
3 11 39.0
3 12 38.0
3 13 43.0
3 14 44.0
3 15 33.0
3 16 35.0
3 17 29.0
3 18 25.0
3 19 29.0
3 20 15.0
3 21 13.0
3 22 10.0
3 23 1.0
3 24 4.0
3 25 11.0
3 26 17.0
3 27 15.0
3 28 8.0
3 29 9.0
3 30 20.0
3 31 26.0
3 32 26.0
3 33 22.0
3 34 22.0
3 35 15.0
3 36 9.0
3 37 8.0
3 38 4.0
3 39 0.0
3 40 3.0
3 41 7.0
3 42 12.0
3 43 16.0
3 44 12.0
3 45 13.0
3 46 19.0
3 47 28.0
4 0 3.0
4 1 10.0
4 2 1.0
4 3 6.0
4 4 8.0
4 5 4.0
4 6 6.0
4 7 19.0
4 8 18.0
4 9 24.0
4 10 29.0
4 11 34.0
4 12 33.0
4 13 38.0
4 14 39.0
4 15 28.0
4 16 30.0
4 17 24.0
4 18 20.0
4 19 24.0
4 20 10.0
4 21 8.0
4 22 5.0
4 23 6.0
4 24 9.0
4 25 16.0
4 26 22.0
4 27 20.0
4 28 13.0
4 29 14.0
4 30 25.0
4 31 31.0
4 32 31.0
4 33 27.0
4 34 27.0
4 35 20.0
4 36 14.0
4 37 13.0
4 38 9.0
4 39 5.0
4 40 2.0
4 41 2.0
4 42 7.0
4 43 11.0
4 44 7.0
4 45 8.0
4 46 14.0
4 47 23.0
5 0 7.0
5 1 20.0
5 2 9.0
5 3 4.0
5 4 18.0
5 5 14.0
5 6 4.0
5 7 9.0
5 8 8.0
5 9 14.0
5 10 19.0
5 11 24.0
5 12 23.0
5 13 28.0
5 14 29.0
5 15 18.0
5 16 20.0
5 17 14.0
5 18 10.0
5 19 14.0
5 20 0.0
5 21 2.0
5 22 5.0
5 23 16.0
5 24 19.0
5 25 26.0
5 26 32.0
5 27 30.0
5 28 23.0
5 29 24.0
5 30 35.0
5 31 41.0
5 32 41.0
5 33 37.0
5 34 37.0
5 35 30.0
5 36 24.0
5 37 23.0
5 38 19.0
5 39 15.0
5 40 12.0
5 41 8.0
5 42 3.0
5 43 1.0
5 44 3.0
5 45 2.0
5 46 4.0
5 47 13.0
6 0 10.0
6 1 23.0
6 2 12.0
6 3 7.0
6 4 21.0
6 5 17.0
6 6 7.0
6 7 6.0
6 8 5.0
6 9 11.0
6 10 16.0
6 11 21.0
6 12 20.0
6 13 25.0
6 14 26.0
6 15 15.0
6 16 17.0
6 17 11.0
6 18 7.0
6 19 11.0
6 20 3.0
6 21 5.0
6 22 8.0
6 23 19.0
6 24 22.0
6 25 29.0
6 26 35.0
6 27 33.0
6 28 26.0
6 29 27.0
6 30 38.0
6 31 44.0
6 32 44.0
6 33 40.0
6 34 40.0
6 35 33.0
6 36 27.0
6 37 26.0
6 38 22.0
6 39 18.0
6 40 15.0
6 41 11.0
6 42 6.0
6 43 2.0
6 44 6.0
6 45 5.0
6 46 1.0
6 47 10.0
7 0 10.0
7 1 23.0
7 2 12.0
7 3 7.0
7 4 21.0
7 5 17.0
7 6 7.0
7 7 6.0
7 8 5.0
7 9 11.0
7 10 16.0
7 11 21.0
7 12 20.0
7 13 25.0
7 14 26.0
7 15 15.0
7 16 17.0
7 17 11.0
7 18 7.0
7 19 11.0
7 20 3.0
7 21 5.0
7 22 8.0
7 23 19.0
7 24 22.0
7 25 29.0
7 26 35.0
7 27 33.0
7 28 26.0
7 29 27.0
7 30 38.0
7 31 44.0
7 32 44.0
7 33 40.0
7 34 40.0
7 35 33.0
7 36 27.0
7 37 26.0
7 38 22.0
7 39 18.0
7 40 15.0
7 41 11.0
7 42 6.0
7 43 2.0
7 44 6.0
7 45 5.0
7 46 1.0
7 47 10.0
8 0 23.0
8 1 36.0
8 2 25.0
8 3 20.0
8 4 34.0
8 5 30.0
8 6 20.0
8 7 7.0
8 8 8.0
8 9 2.0
8 10 3.0
8 11 8.0
8 12 7.0
8 13 12.0
8 14 13.0
8 15 2.0
8 16 4.0
8 17 2.0
8 18 6.0
8 19 2.0
8 20 16.0
8 21 18.0
8 22 21.0
8 23 32.0
8 24 35.0
8 25 42.0
8 26 48.0
8 27 46.0
8 28 39.0
8 29 40.0
8 30 51.0
8 31 57.0
8 32 57.0
8 33 53.0
8 34 53.0
8 35 46.0
8 36 40.0
8 37 39.0
8 38 35.0
8 39 31.0
8 40 28.0
8 41 24.0
8 42 19.0
8 43 15.0
8 44 19.0
8 45 18.0
8 46 12.0
8 47 3.0
9 0 25.0
9 1 38.0
9 2 27.0
9 3 22.0
9 4 36.0
9 5 32.0
9 6 22.0
9 7 9.0
9 8 10.0
9 9 4.0
9 10 1.0
9 11 6.0
9 12 5.0
9 13 10.0
9 14 11.0
9 15 0.0
9 16 2.0
9 17 4.0
9 18 8.0
9 19 4.0
9 20 18.0
9 21 20.0
9 22 23.0
9 23 34.0
9 24 37.0
9 25 44.0
9 26 50.0
9 27 48.0
9 28 41.0
9 29 42.0
9 30 53.0
9 31 59.0
9 32 59.0
9 33 55.0
9 34 55.0
9 35 48.0
9 36 42.0
9 37 41.0
9 38 37.0
9 39 33.0
9 40 30.0
9 41 26.0
9 42 21.0
9 43 17.0
9 44 21.0
9 45 20.0
9 46 14.0
9 47 5.0
10 0 21.0
10 1 34.0
10 2 23.0
10 3 18.0
10 4 32.0
10 5 28.0
10 6 18.0
10 7 5.0
10 8 6.0
10 9 0.0
10 10 5.0
10 11 10.0
10 12 9.0
10 13 14.0
10 14 15.0
10 15 4.0
10 16 6.0
10 17 0.0
10 18 4.0
10 19 0.0
10 20 14.0
10 21 16.0
10 22 19.0
10 23 30.0
10 24 33.0
10 25 40.0
10 26 46.0
10 27 44.0
10 28 37.0
10 29 38.0
10 30 49.0
10 31 55.0
10 32 55.0
10 33 51.0
10 34 51.0
10 35 44.0
10 36 38.0
10 37 37.0
10 38 33.0
10 39 29.0
10 40 26.0
10 41 22.0
10 42 17.0
10 43 13.0
10 44 17.0
10 45 16.0
10 46 10.0
10 47 1.0
11 0 21.0
11 1 34.0
11 2 23.0
11 3 18.0
11 4 32.0
11 5 28.0
11 6 18.0
11 7 5.0
11 8 6.0
11 9 0.0
11 10 5.0
11 11 10.0
11 12 9.0
11 13 14.0
11 14 15.0
11 15 4.0
11 16 6.0
11 17 0.0
11 18 4.0
11 19 0.0
11 20 14.0
11 21 16.0
11 22 19.0
11 23 30.0
11 24 33.0
11 25 40.0
11 26 46.0
11 27 44.0
11 28 37.0
11 29 38.0
11 30 49.0
11 31 55.0
11 32 55.0
11 33 51.0
11 34 51.0
11 35 44.0
11 36 38.0
11 37 37.0
11 38 33.0
11 39 29.0
11 40 26.0
11 41 22.0
11 42 17.0
11 43 13.0
11 44 17.0
11 45 16.0
11 46 10.0
11 47 1.0
12 0 25.0
12 1 38.0
12 2 27.0
12 3 22.0
12 4 36.0
12 5 32.0
12 6 22.0
12 7 9.0
12 8 10.0
12 9 4.0
12 10 1.0
12 11 6.0
12 12 5.0
12 13 10.0
12 14 11.0
12 15 0.0
12 16 2.0
12 17 4.0
12 18 8.0
12 19 4.0
12 20 18.0
12 21 20.0
12 22 23.0
12 23 34.0
12 24 37.0
12 25 44.0
12 26 50.0
12 27 48.0
12 28 41.0
12 29 42.0
12 30 53.0
12 31 59.0
12 32 59.0
12 33 55.0
12 34 55.0
12 35 48.0
12 36 42.0
12 37 41.0
12 38 37.0
12 39 33.0
12 40 30.0
12 41 26.0
12 42 21.0
12 43 17.0
12 44 21.0
12 45 20.0
12 46 14.0
12 47 5.0
13 0 25.0
13 1 38.0
13 2 27.0
13 3 22.0
13 4 36.0
13 5 32.0
13 6 22.0
13 7 9.0
13 8 10.0
13 9 4.0
13 10 1.0
13 11 6.0
13 12 5.0
13 13 10.0
13 14 11.0
13 15 0.0
13 16 2.0
13 17 4.0
13 18 8.0
13 19 4.0
13 20 18.0
13 21 20.0
13 22 23.0
13 23 34.0
13 24 37.0
13 25 44.0
13 26 50.0
13 27 48.0
13 28 41.0
13 29 42.0
13 30 53.0
13 31 59.0
13 32 59.0
13 33 55.0
13 34 55.0
13 35 48.0
13 36 42.0
13 37 41.0
13 38 37.0
13 39 33.0
13 40 30.0
13 41 26.0
13 42 21.0
13 43 17.0
13 44 21.0
13 45 20.0
13 46 14.0
13 47 5.0
14 0 24.0
14 1 37.0
14 2 26.0
14 3 21.0
14 4 35.0
14 5 31.0
14 6 21.0
14 7 8.0
14 8 9.0
14 9 3.0
14 10 2.0
14 11 7.0
14 12 6.0
14 13 11.0
14 14 12.0
14 15 1.0
14 16 3.0
14 17 3.0
14 18 7.0
14 19 3.0
14 20 17.0
14 21 19.0
14 22 22.0
14 23 33.0
14 24 36.0
14 25 43.0
14 26 49.0
14 27 47.0
14 28 40.0
14 29 41.0
14 30 52.0
14 31 58.0
14 32 58.0
14 33 54.0
14 34 54.0
14 35 47.0
14 36 41.0
14 37 40.0
14 38 36.0
14 39 32.0
14 40 29.0
14 41 25.0
14 42 20.0
14 43 16.0
14 44 20.0
14 45 19.0
14 46 13.0
14 47 4.0
15 0 22.0
15 1 35.0
15 2 24.0
15 3 19.0
15 4 33.0
15 5 29.0
15 6 19.0
15 7 6.0
15 8 7.0
15 9 1.0
15 10 4.0
15 11 9.0
15 12 8.0
15 13 13.0
15 14 14.0
15 15 3.0
15 16 5.0
15 17 1.0
15 18 5.0
15 19 1.0
15 20 15.0
15 21 17.0
15 22 20.0
15 23 31.0
15 24 34.0
15 25 41.0
15 26 47.0
15 27 45.0
15 28 38.0
15 29 39.0
15 30 50.0
15 31 56.0
15 32 56.0
15 33 52.0
15 34 52.0
15 35 45.0
15 36 39.0
15 37 38.0
15 38 34.0
15 39 30.0
15 40 27.0
15 41 23.0
15 42 18.0
15 43 14.0
15 44 18.0
15 45 17.0
15 46 11.0
15 47 2.0
16 0 14.0
16 1 27.0
16 2 16.0
16 3 11.0
16 4 25.0
16 5 21.0
16 6 11.0
16 7 2.0
16 8 1.0
16 9 7.0
16 10 12.0
16 11 17.0
16 12 16.0
16 13 21.0
16 14 22.0
16 15 11.0
16 16 13.0
16 17 7.0
16 18 3.0
16 19 7.0
16 20 7.0
16 21 9.0
16 22 12.0
16 23 23.0
16 24 26.0
16 25 33.0
16 26 39.0
16 27 37.0
16 28 30.0
16 29 31.0
16 30 42.0
16 31 48.0
16 32 48.0
16 33 44.0
16 34 44.0
16 35 37.0
16 36 31.0
16 37 30.0
16 38 26.0
16 39 22.0
16 40 19.0
16 41 15.0
16 42 10.0
16 43 6.0
16 44 10.0
16 45 9.0
16 46 3.0
16 47 6.0
17 0 16.0
17 1 29.0
17 2 18.0
17 3 13.0
17 4 27.0
17 5 23.0
17 6 13.0
17 7 0.0
17 8 1.0
17 9 5.0
17 10 10.0
17 11 15.0
17 12 14.0
17 13 19.0
17 14 20.0
17 15 9.0
17 16 11.0
17 17 5.0
17 18 1.0
17 19 5.0
17 20 9.0
17 21 11.0
17 22 14.0
17 23 25.0
17 24 28.0
17 25 35.0
17 26 41.0
17 27 39.0
17 28 32.0
17 29 33.0
17 30 44.0
17 31 50.0
17 32 50.0
17 33 46.0
17 34 46.0
17 35 39.0
17 36 33.0
17 37 32.0
17 38 28.0
17 39 24.0
17 40 21.0
17 41 17.0
17 42 12.0
17 43 8.0
17 44 12.0
17 45 11.0
17 46 5.0
17 47 4.0
18 0 9.0
18 1 22.0
18 2 11.0
18 3 6.0
18 4 20.0
18 5 16.0
18 6 6.0
18 7 7.0
18 8 6.0
18 9 12.0
18 10 17.0
18 11 22.0
18 12 21.0
18 13 26.0
18 14 27.0
18 15 16.0
18 16 18.0
18 17 12.0
18 18 8.0
18 19 12.0
18 20 2.0
18 21 4.0
18 22 7.0
18 23 18.0
18 24 21.0
18 25 28.0
18 26 34.0
18 27 32.0
18 28 25.0
18 29 26.0
18 30 37.0
18 31 43.0
18 32 43.0
18 33 39.0
18 34 39.0
18 35 32.0
18 36 26.0
18 37 25.0
18 38 21.0
18 39 17.0
18 40 14.0
18 41 10.0
18 42 5.0
18 43 1.0
18 44 5.0
18 45 4.0
18 46 2.0
18 47 11.0
19 0 3.0
19 1 16.0
19 2 5.0
19 3 0.0
19 4 14.0
19 5 10.0
19 6 0.0
19 7 13.0
19 8 12.0
19 9 18.0
19 10 23.0
19 11 28.0
19 12 27.0
19 13 32.0
19 14 33.0
19 15 22.0
19 16 24.0
19 17 18.0
19 18 14.0
19 19 18.0
19 20 4.0
19 21 2.0
19 22 1.0
19 23 12.0
19 24 15.0
19 25 22.0
19 26 28.0
19 27 26.0
19 28 19.0
19 29 20.0
