x y u v
0 9 0 -9
1 20 0 -7
2 8 0 -6
3 8 0 -11
3 8 1 3
4 3 1 4
5 -7 1 4
6 -10 1 -6
7 -10 1 -5
8 -23 1 2
9 -25 0 4
10 -21 -1 0
11 -21 -2 0
12 -25 -2 -1
13 -25 -2 -6
13 -25 -1 -5
13 -25 0 -10
13 -25 1 -11
13 -25 2 0
14 -24 2 -3
15 -22 2 1
16 -14 2 -3
17 -16 2 -5
18 -9 2 2
19 -3 2 -2
20 0 2 -2
21 5 1 -7
22 1 0 -3
23 9 0 0
24 13 0 -1
25 12 -1 0
26 20 -1 -1
27 21 -2 -2
28 22 -2 3
29 21 -2 2
30 18 -2 -2
31 19 -2 -2
32 22 -2 6
32 22 -1 12
32 22 0 12
32 22 1 8
32 22 2 8
32 22 3 1
33 18 3 -1
34 13 3 3
35 15 2 1
36 17 1 -1
37 13 1 -1
38 10 0 2
39 8 0 0
40 7 -1 1
41 3 -1 2
42 1 -1 0
43 -3 -1 -1
44 -8 -1 0
44 -8 0 4
44 -8 1 3
45 -13 1 2
46 -18 1 -2
47 -17 0 -3
