x y
0.8413867433 0.6578651685
0.8413867433 0.6578651685
0.8399126796 0.6484550562
0.8367035483 0.616011236
0.83541008 0.6308988764
0.8399126796 0.6484550562
0.8404654655 0.6289325843
0.8423878033 0.5509831461
0.83541008 0.6308988764
0.8399126796 0.6484550562
0.8495398159 0.5963483146
0.83640553 0.5098314607
0.8398292502 0.6355337079
0.8399126796 0.6484550562
0.8374779714 0.6007022472
0.8398292502 0.6355337079
0.8399126796 0.6484550562
0.8508024569 0.6030898876
0.8399126796 0.6484550562
0.8399126796 0.6484550562
0.8398292502 0.6355337079
0.8399126796 0.6484550562
0.8398292502 0.6355337079
